reorder_id,outlet_id,item_id,current_stock,reorder_level,recommended_quantity,priority,status,created_at
REO000091,O0296,I0098,12,24,59,Medium,Ordered,2026-08-31
REO000092,O0169,I0065,15,18,42,Medium,Ordered,2026-08-31
REO000093,O0001,I0190,18,24,59,Medium,Pending,2026-08-31
REO000094,O0313,I0105,13,17,33,Medium,Received,2026-08-31
REO000095,O0061,I0029,32,38,31,Medium,Ordered,2026-08-31
REO000096,O0316,I0107,16,26,85,Medium,Ordered,2026-08-31
REO000097,O0467,I0021,24,36,73,Medium,Pending,2026-08-31
REO000098,O0186,I0271,17,18,75,Medium,Ordered,2026-08-31
REO000099,O0181,I0069,14,24,46,Medium,Approved,2026-08-31
REO000100,O0490,I0025,25,29,65,Medium,Received,2026-08-31
REO000101,O0186,I0068,9,17,63,Medium,Pending,2026-08-31
REO000102,O0184,I0070,2,27,96,High,Received,2026-08-31
REO000103,O0295,I0095,30,33,52,Medium,Ordered,2026-08-31
REO000104,O0018,I0197,8,23,37,High,Ordered,2026-08-31
REO000105,O0296,I0098,12,24,59,Medium,Pending,2026-08-31
REO000106,O0355,I0121,39,39,56,Medium,Pending,2026-08-31
REO000107,O0095,I0022,22,26,52,Medium,Ordered,2026-08-31
REO000108,O0061,I0029,32,38,31,Medium,Pending,2026-08-31
REO000109,O0013,I0167,13,31,80,High,Approved,2026-08-31
REO000110,O0317,I0108,9,20,108,High,Approved,2026-08-31
REO000111,O0150,I0064,7,25,106,High,Ordered,2026-08-31
REO000112,O0094,I0019,26,26,39,Medium,Ordered,2026-08-31
REO000113,O0130,I0049,20,33,30,Medium,Approved,2026-08-31
REO000114,O0078,I0017,8,19,43,High,Ordered,2026-08-31
REO000115,O0494,I0142,10,21,96,High,Approved,2026-08-31
REO000116,O0219,I0074,10,23,83,High,Ordered,2026-08-31
REO000117,O0262,I0086,18,33,96,Medium,Ordered,2026-08-31
REO000118,O0044,I0019,6,29,52,High,Pending,2026-08-31
REO000119,O0025,I0016,2,24,77,High,Ordered,2026-08-31
REO000120,O0161,I0058,18,23,62,Medium,Pending,2026-08-31
REO000121,O0038,I0193,2,32,90,High,Approved,2026-08-31
REO000122,O0283,I0097,11,21,98,Medium,Ordered,2026-08-31
REO000123,O0297,I0097,5,23,76,High,Pending,2026-08-31
REO000124,O0387,I0131,8,33,119,High,Approved,2026-08-31
REO000125,O0009,I0006,19,27,90,Medium,Ordered,2026-08-31
REO000126,O0187,I0069,20,23,75,Medium,Approved,2026-08-31
REO000127,O0204,I0076,14,30,56,High,Approved,2026-08-31
REO000128,O0465,I0020,9,28,41,High,Ordered,2026-08-31
REO000129,O0165,I0060,9,25,50,High,Approved,2026-08-31
REO000130,O0104,I0041,6,22,73,High,Approved,2026-08-31
REO000131,O0024,I0013,9,14,39,Medium,Received,2026-08-31
REO000132,O0278,I0088,16,23,46,Medium,Pending,2026-08-31
REO000133,O0083,I0037,0,16,87,Critical,Ordered,2026-08-31
REO000134,O0121,I0050,21,25,90,Medium,Pending,2026-08-31
REO000135,O0043,I0024,23,30,98,Medium,Ordered,2026-08-31
REO000136,O0218,I0074,14,31,110,High,Ordered,2026-08-31
REO000137,O0003,I0007,4,16,36,High,Ordered,2026-08-31
REO000138,O0181,I0275,6,24,94,High,Pending,2026-08-31
REO000139,O0358,I0121,7,20,43,High,Approved,2026-08-31
REO000140,O0314,I0107,13,21,65,Medium,Approved,2026-08-31
REO000141,O0053,I0025,25,29,32,Medium,Pending,2026-08-31
REO000142,O0319,I0107,11,30,114,High,Pending,2026-08-31
REO000143,O0009,I0161,16,30,47,Medium,Ordered,2026-08-31
REO000144,O0001,I0172,23,28,37,Medium,Ordered,2026-08-31
REO000145,O0078,I0016,29,33,69,Medium,Received,2026-08-31
REO000146,O0434,I0057,13,16,44,Medium,Received,2026-08-31
REO000147,O0001,I0190,18,24,59,Medium,Received,2026-08-31
REO000148,O0183,I0267,13,22,91,Medium,Ordered,2026-08-31
REO000149,O0465,I0020,9,28,41,High,Ordered,2026-08-31
REO000150,O0008,I0006,20,21,58,Medium,Approved,2026-08-31
REO000151,O0410,I0138,10,21,80,High,Approved,2026-08-31
REO000152,O0455,I0052,18,21,81,Medium,Pending,2026-08-31
REO000153,O0143,I0063,18,18,88,Medium,Pending,2026-08-31
REO000154,O0286,I0094,23,24,51,Medium,Pending,2026-08-31
REO000155,O0146,I0060,15,20,79,Medium,Pending,2026-08-31
REO000156,O0436,I0053,0,14,92,Critical,Pending,2026-08-31
REO000157,O0186,I0071,15,23,54,Medium,Pending,2026-08-31
REO000158,O0076,I0010,15,16,92,Medium,Ordered,2026-08-31
REO000159,O0188,I0272,23,24,90,Medium,Approved,2026-08-31
REO000160,O0033,I0193,10,18,77,Medium,Pending,2026-08-31
REO000161,O0301,I0098,9,16,54,Medium,Received,2026-08-31
REO000162,O0268,I0090,2,17,72,High,Pending,2026-08-31
REO000163,O0055,I0019,17,25,45,Medium,Pending,2026-08-31
REO000164,O0165,I0062,5,19,79,High,Received,2026-08-31
REO000165,O0187,I0267,18,18,50,Medium,Ordered,2026-08-31
REO000166,O0500,I0138,17,30,38,Medium,Pending,2026-08-31
REO000167,O0163,I0064,19,24,67,Medium,Ordered,2026-08-31
REO000168,O0109,I0042,5,15,99,High,Ordered,2026-08-31
REO000169,O0095,I0021,19,22,84,Medium,Approved,2026-08-31
REO000170,O0031,I0006,6,25,105,High,Received,2026-08-31
REO000171,O0168,I0059,8,27,60,High,Pending,2026-08-31
REO000172,O0486,I0025,27,36,62,Medium,Ordered,2026-08-31
REO000173,O0200,I0068,15,30,67,Medium,Ordered,2026-08-31
REO000174,O0040,I0198,20,21,28,Medium,Pending,2026-08-31
REO000175,O0153,I0060,16,25,59,Medium,Approved,2026-08-31
REO000176,O0495,I0139,4,19,104,High,Ordered,2026-08-31
REO000177,O0416,I0019,8,32,79,High,Ordered,2026-08-31
REO000178,O0058,I0018,23,26,46,Medium,Ordered,2026-08-31
REO000179,O0150,I0061,21,30,93,Medium,Ordered,2026-08-31
REO000180,O0092,I0020,11,16,86,Medium,Pending,2026-08-31
REO000181,O0122,I0052,14,23,106,Medium,Pending,2026-08-31
REO000182,O0169,I0060,10,14,55,Medium,Approved,2026-08-31
REO000183,O0393,I0134,15,17,79,Medium,Pending,2026-08-31
REO000184,O0143,I0063,18,18,88,Medium,Ordered,2026-08-31
REO000185,O0416,I0018,6,23,68,High,Approved,2026-08-31
REO000186,O0200,I0275,11,30,63,High,Ordered,2026-08-31
REO000187,O0271,I0087,2,27,75,High,Received,2026-08-31
REO000188,O0188,I0067,10,32,116,High,Received,2026-08-31
REO000189,O0065,I0028,6,29,77,High,Received,2026-08-31
REO000190,O0418,I0020,13,28,72,High,Approved,2026-08-31
REO000191,O0001,I0172,23,28,37,Medium,Ordered,2026-08-31
REO000192,O0134,I0057,13,34,109,High,Received,2026-08-31
REO000193,O0088,I0035,20,23,88,Medium,Approved,2026-08-31
REO000194,O0393,I0134,15,17,79,Medium,Ordered,2026-08-31
REO000195,O0165,I0062,5,19,79,High,Pending,2026-08-31
REO000196,O0085,I0034,15,29,38,Medium,Pending,2026-08-31
REO000197,O0486,I0021,3,29,76,High,Ordered,2026-08-31
REO000198,O0186,I0267,34,37,55,Medium,Ordered,2026-08-31
REO000199,O0478,I0101,6,28,82,High,Received,2026-08-31
REO000200,O0279,I0091,13,25,91,Medium,Pending,2026-08-31
REO000201,O0374,I0126,8,26,63,High,Ordered,2026-08-31
REO000202,O0165,I0059,12,20,85,Medium,Ordered,2026-08-31
REO000203,O0204,I0075,2,26,95,High,Approved,2026-08-31
REO000204,O0296,I0099,7,29,60,High,Pending,2026-08-31
REO000205,O0043,I0024,23,30,98,Medium,Ordered,2026-08-31
REO000206,O0369,I0124,26,30,96,Medium,Ordered,2026-08-31
REO000207,O0376,I0126,3,10,89,High,Approved,2026-08-31
REO000208,O0191,I0263,7,33,63,High,Ordered,2026-08-31
REO000209,O0264,I0087,14,28,76,Medium,Approved,2026-08-31
REO000210,O0375,I0126,2,16,39,High,Ordered,2026-08-31
REO000211,O0286,I0094,23,24,51,Medium,Approved,2026-08-31
REO000212,O0023,I0013,18,26,72,Medium,Approved,2026-08-31
REO000213,O0300,I0099,18,24,44,Medium,Approved,2026-08-31
REO000214,O0039,I0163,0,16,111,Critical,Approved,2026-08-31
REO000215,O0109,I0041,9,23,72,High,Approved,2026-08-31
REO000216,O0277,I0089,9,33,101,High,Approved,2026-08-31
REO000217,O0418,I0022,35,36,86,Medium,Pending,2026-08-31
REO000218,O0399,I0135,21,31,70,Medium,Approved,2026-08-31
REO000219,O0315,I0108,3,14,50,High,Pending,2026-08-31
REO000220,O0192,I0069,1,33,70,High,Ordered,2026-08-31
REO000221,O0055,I0025,24,25,99,Medium,Approved,2026-08-31
REO000222,O0084,I0033,22,33,92,Medium,Ordered,2026-08-31
REO000223,O0004,I0164,13,30,76,High,Received,2026-08-31
REO000224,O0142,I0063,4,37,66,High,Ordered,2026-08-31
REO000225,O0088,I0035,20,23,88,Medium,Pending,2026-08-31
REO000226,O0171,I0062,5,11,75,High,Approved,2026-08-31
REO000227,O0097,I0020,8,19,39,High,Ordered,2026-08-31
REO000228,O0005,I0188,24,24,54,Medium,Pending,2026-08-31
REO000229,O0367,I0122,6,34,91,High,Approved,2026-08-31
REO000230,O0190,I0269,1,28,100,High,Ordered,2026-08-31
REO000231,O0199,I0274,16,30,59,Medium,Received,2026-08-31
REO000232,O0304,I0097,9,12,79,Medium,Approved,2026-08-31
REO000233,O0256,I0091,23,28,39,Medium,Approved,2026-08-31
REO000234,O0271,I0087,2,27,75,High,Pending,2026-08-31
REO000235,O0481,I0020,23,33,76,Medium,Pending,2026-08-31
REO000236,O0410,I0142,14,14,53,Medium,Approved,2026-08-31
REO000237,O0278,I0088,16,23,46,Medium,Ordered,2026-08-31
REO000238,O0165,I0061,13,27,50,High,Ordered,2026-08-31
REO000239,O0020,I0008,3,18,94,High,Pending,2026-08-31
REO000240,O0194,I0068,4,20,104,High,Pending,2026-08-31
REO000241,O0162,I0064,13,15,64,Medium,Approved,2026-08-31
REO000242,O0248,I0082,3,16,70,High,Received,2026-08-31
REO000243,O0017,I0006,4,25,47,High,Approved,2026-08-31
REO000244,O0159,I0064,2,25,81,High,Approved,2026-08-31
REO000245,O0340,I0112,18,34,33,Medium,Pending,2026-08-31
REO000246,O0016,I0172,4,20,78,High,Ordered,2026-08-31
REO000247,O0072,I0013,15,26,72,Medium,Approved,2026-08-31
REO000248,O0395,I0137,24,32,68,Medium,Ordered,2026-08-31
REO000249,O0092,I0024,4,15,99,High,Pending,2026-08-31
REO000250,O0029,I0010,15,21,72,Medium,Approved,2026-08-31
REO000251,O0434,I0057,13,16,44,Medium,Ordered,2026-08-31
REO000252,O0340,I0112,18,34,33,Medium,Ordered,2026-08-31
REO000253,O0039,I0163,0,16,111,Critical,Pending,2026-08-31
REO000254,O0410,I0138,10,21,80,High,Approved,2026-08-31
REO000255,O0109,I0042,5,15,99,High,Ordered,2026-08-31
REO000256,O0021,I0014,9,20,91,High,Received,2026-08-31
REO000257,O0197,I0067,22,28,89,Medium,Approved,2026-08-31
REO000258,O0046,I0022,7,24,58,High,Ordered,2026-08-31
REO000259,O0459,I0049,23,24,72,Medium,Ordered,2026-08-31
REO000260,O0191,I0263,7,33,63,High,Ordered,2026-08-31
REO000261,O0180,I0058,17,29,82,Medium,Approved,2026-08-31
REO000262,O0109,I0042,5,15,99,High,Ordered,2026-08-31
REO000263,O0426,I0033,20,30,34,Medium,Pending,2026-08-31
REO000264,O0104,I0041,6,22,73,High,Ordered,2026-08-31
REO000265,O0002,I0002,18,18,41,Medium,Ordered,2026-08-31
REO000266,O0236,I0079,5,20,82,High,Pending,2026-08-31
REO000267,O0465,I0018,9,22,72,High,Ordered,2026-08-31
REO000268,O0442,I0074,34,34,22,Medium,Pending,2026-08-31
REO000269,O0414,I0018,17,29,39,Medium,Pending,2026-08-31
REO000270,O0414,I0018,17,29,39,Medium,Approved,2026-08-31
REO000271,O0016,I0161,11,16,31,Medium,Ordered,2026-08-31
REO000272,O0044,I0021,25,28,61,Medium,Pending,2026-08-31
REO000273,O0020,I0008,3,18,94,High,Pending,2026-08-31
REO000274,O0228,I0081,0,31,124,Critical,Approved,2026-08-31
REO000275,O0053,I0024,3,31,120,High,Approved,2026-08-31
REO000276,O0226,I0081,16,27,30,Medium,Approved,2026-08-31
REO000277,O0089,I0033,9,23,51,High,Approved,2026-08-31
REO000278,O0142,I0063,4,37,66,High,Approved,2026-08-31
REO000279,O0497,I0139,20,25,69,Medium,Pending,2026-08-31
REO000280,O0169,I0060,10,14,55,Medium,Ordered,2026-08-31
REO000281,O0138,I0057,12,28,41,High,Ordered,2026-08-31
REO000282,O0006,I0169,3,29,89,High,Approved,2026-08-31
REO000283,O0165,I0065,13,16,27,Medium,Pending,2026-08-31
REO000284,O0185,I0068,10,32,55,High,Ordered,2026-08-31
REO000285,O0166,I0058,13,35,84,High,Ordered,2026-08-31
REO000286,O0390,I0131,13,30,94,High,Received,2026-08-31
REO000287,O0182,I0266,27,36,71,Medium,Received,2026-08-31
REO000288,O0263,I0090,10,35,93,High,Approved,2026-08-31
REO000289,O0189,I0271,16,18,36,Medium,Approved,2026-08-31
REO000290,O0340,I0111,3,35,93,High,Ordered,2026-08-31
REO000291,O0253,I0086,0,25,117,Critical,Approved,2026-08-31
REO000292,O0307,I0094,13,20,81,Medium,Pending,2026-08-31
REO000293,O0349,I0116,17,30,56,Medium,Ordered,2026-08-31
REO000294,O0079,I0013,14,15,47,Medium,Received,2026-08-31
REO000295,O0033,I0007,19,32,63,Medium,Approved,2026-08-31
REO000296,O0283,I0097,11,21,98,Medium,Pending,2026-08-31
REO000297,O0005,I0188,24,24,54,Medium,Ordered,2026-08-31
REO000298,O0120,I0045,7,19,95,High,Approved,2026-08-31
REO000299,O0173,I0064,0,10,57,Critical,Received,2026-08-31
REO000300,O0055,I0019,17,25,45,Medium,Received,2026-08-31
REO000301,O0008,I0193,21,21,43,Medium,Received,2026-08-31
REO000302,O0307,I0095,2,13,78,High,Approved,2026-08-31
REO000303,O0372,I0126,6,23,45,High,Approved,2026-08-31
REO000304,O0088,I0035,20,23,88,Medium,Ordered,2026-08-31
REO000305,O0186,I0263,14,31,63,High,Approved,2026-08-31
REO000306,O0416,I0018,6,23,68,High,Approved,2026-08-31
REO000307,O0257,I0092,10,32,48,High,Approved,2026-08-31
REO000308,O0061,I0029,32,38,31,Medium,Ordered,2026-08-31
REO000309,O0007,I0004,20,36,39,Medium,Pending,2026-08-31
REO000310,O0265,I0091,7,27,92,High,Pending,2026-08-31
REO000311,O0199,I0269,13,28,81,High,Received,2026-08-31
REO000312,O0169,I0060,10,14,55,Medium,Received,2026-08-31
REO000313,O0188,I0067,10,32,116,High,Received,2026-08-31
REO000314,O0456,I0049,1,17,49,High,Received,2026-08-31
REO000315,O0191,I0268,26,31,99,Medium,Ordered,2026-08-31
REO000316,O0208,I0072,20,28,53,Medium,Pending,2026-08-31
REO000317,O0413,I0018,22,32,37,Medium,Pending,2026-08-31
REO000318,O0061,I0026,11,25,70,High,Pending,2026-08-31
REO000319,O0440,I0054,4,20,90,High,Ordered,2026-08-31
REO000320,O0197,I0263,11,31,114,High,Ordered,2026-08-31
REO000321,O0494,I0142,10,21,96,High,Ordered,2026-08-31
REO000322,O0005,I0194,16,21,51,Medium,Approved,2026-08-31
REO000323,O0017,I0009,5,28,42,High,Ordered,2026-08-31
REO000324,O0346,I0115,15,17,33,Medium,Approved,2026-08-31
REO000325,O0183,I0069,36,37,73,Medium,Ordered,2026-08-31
REO000326,O0037,I0198,1,17,77,High,Received,2026-08-31
REO000327,O0232,I0079,4,8,103,Medium,Approved,2026-08-31
REO000328,O0376,I0128,10,17,89,Medium,Ordered,2026-08-31
REO000329,O0486,I0021,3,29,76,High,Ordered,2026-08-31
REO000330,O0187,I0069,20,23,75,Medium,Approved,2026-08-31
REO000331,O0166,I0061,8,26,101,High,Approved,2026-08-31
REO000332,O0284,I0095,9,15,55,Medium,Ordered,2026-08-31
REO000333,O0283,I0097,11,21,98,Medium,Pending,2026-08-31
REO000334,O0192,I0266,1,22,41,High,Pending,2026-08-31
REO000335,O0055,I0025,24,25,99,Medium,Approved,2026-08-31
REO000336,O0138,I0057,12,28,41,High,Received,2026-08-31
REO000337,O0417,I0019,19,19,28,Medium,Pending,2026-08-31
REO000338,O0165,I0059,12,20,85,Medium,Pending,2026-08-31
REO000339,O0315,I0108,3,14,50,High,Ordered,2026-08-31
REO000340,O0387,I0131,8,33,119,High,Received,2026-08-31
REO000341,O0452,I0049,6,26,68,High,Ordered,2026-08-31
REO000342,O0405,I0142,5,32,75,High,Approved,2026-08-31
REO000343,O0111,I0046,17,23,85,Medium,Received,2026-08-31
REO000344,O0197,I0066,10,26,80,High,Ordered,2026-08-31
REO000345,O0187,I0267,18,18,50,Medium,Ordered,2026-08-31
REO000346,O0263,I0087,7,35,87,High,Approved,2026-08-31
REO000347,O0105,I0038,20,30,45,Medium,Received,2026-08-31
REO000348,O0263,I0091,4,12,99,High,Pending,2026-08-31
REO000349,O0024,I0013,9,14,39,Medium,Ordered,2026-08-31
REO000350,O0114,I0048,9,27,83,High,Pending,2026-08-31
REO000351,O0419,I0023,13,31,113,High,Ordered,2026-08-31
REO000352,O0158,I0058,2,26,91,High,Ordered,2026-08-31
REO000353,O0159,I0063,5,17,48,High,Pending,2026-08-31
REO000354,O0467,I0025,24,27,42,Medium,Ordered,2026-08-31
REO000355,O0012,I0161,10,31,66,High,Pending,2026-08-31
REO000356,O0433,I0055,21,24,66,Medium,Received,2026-08-31
REO000357,O0499,I0139,6,18,78,High,Ordered,2026-08-31
REO000358,O0470,I0019,15,32,92,High,Pending,2026-08-31
REO000359,O0418,I0022,35,36,86,Medium,Ordered,2026-08-31
REO000360,O0142,I0063,4,37,66,High,Approved,2026-08-31
REO000361,O0199,I0263,2,26,68,High,Ordered,2026-08-31
REO000362,O0277,I0089,9,33,101,High,Approved,2026-08-31
REO000363,O0385,I0132,16,28,50,Medium,Pending,2026-08-31
REO000364,O0103,I0041,0,37,65,Critical,Approved,2026-08-31
REO000365,O0128,I0050,12,17,91,Medium,Received,2026-08-31
REO000366,O0165,I0065,13,16,27,Medium,Received,2026-08-31
REO000367,O0401,I0142,15,17,38,Medium,Approved,2026-08-31
REO000368,O0210,I0072,0,29,60,Critical,Ordered,2026-08-31
REO000369,O0162,I0064,13,15,64,Medium,Approved,2026-08-31
REO000370,O0083,I0032,7,15,56,High,Approved,2026-08-31
REO000371,O0044,I0020,26,34,46,Medium,Pending,2026-08-31
REO000372,O0197,I0066,10,26,80,High,Approved,2026-08-31
REO000373,O0074,I0011,10,32,59,High,Pending,2026-08-31
REO000374,O0196,I0070,8,14,96,Medium,Ordered,2026-08-31
REO000375,O0082,I0035,14,22,70,Medium,Pending,2026-08-31
REO000376,O0030,I0013,7,12,40,Medium,Ordered,2026-08-31
REO000377,O0364,I0122,16,29,64,Medium,Approved,2026-08-31
REO000378,O0321,I0111,5,18,102,High,Approved,2026-08-31
REO000379,O0021,I0017,27,36,46,Medium,Approved,2026-08-31
REO000380,O0315,I0108,3,14,50,High,Ordered,2026-08-31
REO000381,O0210,I0072,0,29,60,Critical,Approved,2026-08-31
REO000382,O0312,I0108,36,37,35,Medium,Approved,2026-08-31
REO000383,O0003,I0008,8,24,82,High,Received,2026-08-31
REO000384,O0179,I0060,5,16,83,High,Ordered,2026-08-31
REO000385,O0017,I0164,8,22,43,High,Pending,2026-08-31
REO000386,O0464,I0018,12,20,70,Medium,Ordered,2026-08-31
REO000387,O0035,I0193,27,34,98,Medium,Ordered,2026-08-31
REO000388,O0429,I0033,7,29,44,High,Pending,2026-08-31
REO000389,O0279,I0086,19,19,70,Medium,Ordered,2026-08-31
REO000390,O0189,I0067,0,30,110,Critical,Received,2026-08-31
REO000391,O0277,I0089,9,33,101,High,Approved,2026-08-31
REO000392,O0331,I0109,2,13,73,High,Ordered,2026-08-31
REO000393,O0065,I0028,6,29,77,High,Received,2026-08-31
REO000394,O0053,I0020,13,28,46,High,Ordered,2026-08-31
REO000395,O0418,I0022,35,36,86,Medium,Ordered,2026-08-31
REO000396,O0376,I0129,3,22,67,High,Pending,2026-08-31
REO000397,O0470,I0023,14,20,29,Medium,Ordered,2026-08-31
REO000398,O0490,I0025,25,29,65,Medium,Received,2026-08-31
REO000399,O0200,I0068,15,30,67,Medium,Approved,2026-08-31
REO000400,O0299,I0094,14,17,32,Medium,Received,2026-08-31
REO000401,O0456,I0052,11,21,87,Medium,Pending,2026-08-31
REO000402,O0480,I0100,12,32,79,High,Ordered,2026-08-31
REO000403,O0417,I0025,4,28,49,High,Approved,2026-08-31
REO000404,O0183,I0267,13,22,91,Medium,Pending,2026-08-31
REO000405,O0185,I0068,10,32,55,High,Ordered,2026-08-31
REO000406,O0271,I0087,2,27,75,High,Approved,2026-08-31
REO000407,O0002,I0171,18,29,29,Medium,Pending,2026-08-31
REO000408,O0431,I0053,6,32,115,High,Approved,2026-08-31
REO000409,O0120,I0045,7,19,95,High,Received,2026-08-31
REO000410,O0264,I0087,14,28,76,Medium,Approved,2026-08-31
REO000411,O0327,I0110,3,26,78,High,Approved,2026-08-31
REO000412,O0184,I0067,17,17,62,Medium,Approved,2026-08-31
REO000413,O0316,I0107,16,26,85,Medium,Ordered,2026-08-31
REO000414,O0261,I0089,21,37,58,Medium,Ordered,2026-08-31
REO000415,O0084,I0033,22,33,92,Medium,Ordered,2026-08-31
REO000416,O0162,I0059,15,30,85,Medium,Received,2026-08-31
REO000417,O0096,I0024,5,31,66,High,Approved,2026-08-31
