movement_id,outlet_id,item_id,movement_type,quantity,movement_date,reference_id
MOV000041,O0183,I0070,Stock In,7,2026-01-24,REF0000041
MOV000042,O0420,I0018,Sale,17,2026-08-09,REF0000042
MOV000043,O0311,I0107,Sale,9,2026-07-18,REF0000043
MOV000044,O0169,I0061,Stock In,15,2026-01-22,REF0000044
MOV000045,O0030,I0012,Stock In,11,2025-11-28,REF0000045
MOV000046,O0077,I0015,Sale,20,2025-12-24,REF0000046
MOV000047,O0421,I0035,Adjustment,18,2026-02-24,REF0000047
MOV000048,O0189,I0264,Stock In,22,2026-07-07,REF0000048
MOV000049,O0058,I0023,Stock In,15,2025-11-24,REF0000049
MOV000050,O0005,I0163,Sale,28,2025-11-05,REF0000050
MOV000051,O0408,I0140,Stock In,11,2026-01-08,REF0000051
MOV000052,O0500,I0139,Stock In,15,2025-09-16,REF0000052
MOV000053,O0473,I0104,Sale,29,2026-05-01,REF0000053
MOV000054,O0010,I0003,Stock In,3,2026-07-06,REF0000054
MOV000055,O0270,I0092,Sale,14,2025-11-30,REF0000055
MOV000056,O0001,I0171,Sale,26,2026-05-18,REF0000056
MOV000057,O0467,I0020,Stock In,12,2025-11-25,REF0000057
MOV000058,O0095,I0024,Sale,21,2026-01-20,REF0000058
MOV000059,O0197,I0267,Sale,21,2025-09-20,REF0000059
MOV000060,O0443,I0074,Sale,10,2026-02-07,REF0000060
MOV000061,O0429,I0036,Sale,24,2025-12-21,REF0000061
MOV000062,O0366,I0125,Sale,27,2026-03-21,REF0000062
MOV000063,O0406,I0140,Sale,10,2026-02-19,REF0000063
MOV000064,O0374,I0129,Sale,18,2025-09-17,REF0000064
MOV000065,O0148,I0059,Return,8,2026-06-22,REF0000065
MOV000066,O0448,I0076,Adjustment,1,2026-06-30,REF0000066
MOV000067,O0190,I0271,Transfer,23,2026-03-24,REF0000067
MOV000068,O0499,I0141,Sale,21,2025-12-17,REF0000068
MOV000069,O0128,I0051,Sale,6,2025-11-08,REF0000069
MOV000070,O0198,I0266,Return,21,2026-06-11,REF0000070
MOV000071,O0020,I0200,Sale,9,2026-03-08,REF0000071
MOV000072,O0189,I0067,Sale,26,2026-06-17,REF0000072
MOV000073,O0036,I0193,Stock In,18,2026-06-13,REF0000073
MOV000074,O0206,I0074,Adjustment,30,2025-11-14,REF0000074
MOV000075,O0149,I0064,Sale,29,2026-06-10,REF0000075
MOV000076,O0254,I0089,Stock In,1,2026-08-09,REF0000076
MOV000077,O0007,I0162,Sale,13,2026-02-24,REF0000077
MOV000078,O0129,I0052,Transfer,3,2026-04-20,REF0000078
MOV000079,O0129,I0049,Stock In,29,2026-01-10,REF0000079
MOV000080,O0476,I0104,Sale,4,2025-09-14,REF0000080
MOV000081,O0407,I0139,Sale,28,2026-05-25,REF0000081
MOV000082,O0252,I0086,Sale,20,2025-10-02,REF0000082
MOV000083,O0410,I0139,Transfer,28,2026-01-05,REF0000083
MOV000084,O0003,I0188,Stock In,2,2025-09-27,REF0000084
MOV000085,O0230,I0079,Sale,28,2026-07-17,REF0000085
MOV000086,O0234,I0079,Return,16,2025-11-09,REF0000086
MOV000087,O0386,I0133,Sale,27,2026-02-21,REF0000087
MOV000088,O0201,I0074,Sale,18,2026-07-18,REF0000088
MOV000089,O0169,I0059,Stock In,14,2026-01-30,REF0000089
MOV000090,O0149,I0061,Return,18,2025-10-24,REF0000090
MOV000091,O0234,I0079,Sale,26,2026-01-05,REF0000091
MOV000092,O0411,I0025,Stock In,23,2026-01-06,REF0000092
MOV000093,O0381,I0133,Sale,25,2025-09-18,REF0000093
MOV000094,O0429,I0037,Stock In,25,2025-11-11,REF0000094
MOV000095,O0215,I0072,Sale,9,2025-09-10,REF0000095
MOV000096,O0189,I0071,Stock In,2,2026-05-17,REF0000096
MOV000097,O0423,I0032,Sale,17,2026-05-15,REF0000097
MOV000098,O0003,I0007,Sale,22,2025-10-22,REF0000098
MOV000099,O0192,I0271,Sale,29,2025-09-11,REF0000099
MOV000100,O0481,I0021,Sale,20,2026-06-19,REF0000100
MOV000101,O0448,I0072,Stock In,19,2026-05-19,REF0000101
MOV000102,O0074,I0016,Stock In,25,2026-03-26,REF0000102
MOV000103,O0158,I0065,Sale,2,2026-05-16,REF0000103
MOV000104,O0026,I0013,Return,14,2025-11-22,REF0000104
MOV000105,O0166,I0064,Return,20,2025-10-30,REF0000105
MOV000106,O0418,I0023,Stock In,4,2025-09-16,REF0000106
MOV000107,O0040,I0172,Sale,9,2026-04-14,REF0000107
MOV000108,O0297,I0097,Sale,18,2026-04-23,REF0000108
MOV000109,O0002,I0008,Sale,28,2025-09-06,REF0000109
MOV000110,O0160,I0058,Adjustment,9,2026-04-06,REF0000110
MOV000111,O0235,I0078,Stock In,22,2025-12-28,REF0000111
MOV000112,O0426,I0037,Sale,4,2026-07-05,REF0000112
MOV000113,O0305,I0099,Sale,16,2026-01-28,REF0000113
MOV000114,O0257,I0086,Sale,13,2026-06-11,REF0000114
MOV000115,O0044,I0020,Stock In,17,2026-07-21,REF0000115
MOV000116,O0071,I0014,Transfer,8,2025-09-08,REF0000116
MOV000117,O0387,I0130,Return,13,2026-02-28,REF0000117
MOV000118,O0200,I0274,Sale,8,2026-04-13,REF0000118
MOV000119,O0188,I0264,Sale,20,2025-10-21,REF0000119
MOV000120,O0498,I0138,Sale,29,2026-02-11,REF0000120
MOV000121,O0295,I0093,Sale,26,2025-09-24,REF0000121
MOV000122,O0159,I0058,Transfer,2,2025-12-23,REF0000122
MOV000123,O0281,I0099,Adjustment,29,2026-08-12,REF0000123
MOV000124,O0088,I0036,Sale,9,2025-12-31,REF0000124
MOV000125,O0302,I0093,Sale,29,2026-01-28,REF0000125
MOV000126,O0012,I0001,Stock In,30,2025-09-28,REF0000126
MOV000127,O0118,I0047,Stock In,1,2026-08-03,REF0000127
MOV000128,O0300,I0097,Transfer,6,2026-02-03,REF0000128
MOV000129,O0007,I0166,Sale,2,2026-01-18,REF0000129
MOV000130,O0479,I0103,Sale,3,2026-07-19,REF0000130
MOV000131,O0468,I0024,Transfer,21,2026-01-12,REF0000131
MOV000132,O0230,I0077,Stock In,16,2025-12-17,REF0000132
MOV000133,O0405,I0140,Sale,25,2025-09-04,REF0000133
MOV000134,O0015,I0171,Return,7,2026-05-03,REF0000134
MOV000135,O0432,I0056,Sale,19,2026-05-08,REF0000135
MOV000136,O0176,I0058,Adjustment,11,2025-10-24,REF0000136
MOV000137,O0080,I0015,Stock In,13,2026-01-25,REF0000137
MOV000138,O0312,I0106,Stock In,4,2025-10-08,REF0000138
MOV000139,O0152,I0063,Stock In,30,2026-05-05,REF0000139
MOV000140,O0039,I0008,Return,23,2026-06-26,REF0000140
MOV000141,O0140,I0057,Stock In,4,2026-08-26,REF0000141
MOV000142,O0182,I0273,Sale,4,2025-10-08,REF0000142
MOV000143,O0324,I0111,Sale,26,2025-11-30,REF0000143
MOV000144,O0408,I0138,Adjustment,11,2026-04-03,REF0000144
MOV000145,O0397,I0137,Return,19,2026-03-13,REF0000145
MOV000146,O0476,I0102,Return,27,2025-11-07,REF0000146
MOV000147,O0015,I0168,Stock In,2,2025-12-16,REF0000147
MOV000148,O0050,I0025,Transfer,29,2026-01-03,REF0000148
MOV000149,O0476,I0102,Stock In,4,2026-07-02,REF0000149
MOV000150,O0459,I0050,Return,27,2026-06-20,REF0000150
MOV000151,O0032,I0001,Stock In,1,2025-09-08,REF0000151
MOV000152,O0023,I0015,Sale,28,2025-12-25,REF0000152
MOV000153,O0198,I0266,Sale,11,2025-12-22,REF0000153
MOV000154,O0042,I0023,Sale,4,2025-10-27,REF0000154
MOV000155,O0014,I0007,Transfer,21,2025-10-14,REF0000155
MOV000156,O0194,I0067,Transfer,21,2026-08-03,REF0000156
MOV000157,O0315,I0107,Sale,6,2026-01-24,REF0000157
MOV000158,O0014,I0162,Sale,8,2026-01-29,REF0000158
MOV000159,O0191,I0264,Stock In,12,2025-11-21,REF0000159
MOV000160,O0096,I0019,Sale,17,2026-02-26,REF0000160
MOV000161,O0299,I0096,Sale,10,2026-02-28,REF0000161
MOV000162,O0218,I0073,Return,14,2025-10-05,REF0000162
MOV000163,O0156,I0063,Sale,24,2025-09-02,REF0000163
MOV000164,O0212,I0072,Transfer,9,2025-11-03,REF0000164
MOV000165,O0291,I0093,Sale,15,2025-09-16,REF0000165
MOV000166,O0019,I0196,Stock In,18,2026-06-19,REF0000166
MOV000167,O0188,I0277,Sale,15,2026-06-07,REF0000167
MOV000168,O0010,I0190,Sale,1,2026-05-29,REF0000168
MOV000169,O0183,I0069,Stock In,7,2026-01-06,REF0000169
MOV000170,O0360,I0120,Stock In,27,2025-12-09,REF0000170
MOV000171,O0098,I0024,Sale,9,2026-03-14,REF0000171
MOV000172,O0448,I0074,Sale,15,2025-10-21,REF0000172
MOV000173,O0005,I0003,Sale,2,2025-10-25,REF0000173
MOV000174,O0318,I0105,Sale,23,2026-01-17,REF0000174
MOV000175,O0417,I0025,Sale,25,2026-04-20,REF0000175
MOV000176,O0348,I0117,Stock In,5,2026-01-03,REF0000176
MOV000177,O0244,I0085,Sale,4,2026-06-04,REF0000177
MOV000178,O0379,I0127,Sale,1,2026-01-30,REF0000178
MOV000179,O0462,I0022,Transfer,2,2026-04-25,REF0000179
MOV000180,O0407,I0142,Transfer,26,2026-07-24,REF0000180
MOV000181,O0475,I0104,Sale,1,2026-01-25,REF0000181
MOV000182,O0405,I0138,Sale,29,2026-02-14,REF0000182
MOV000183,O0014,I0193,Sale,23,2025-10-16,REF0000183
MOV000184,O0015,I0199,Sale,27,2026-05-05,REF0000184
MOV000185,O0145,I0063,Sale,23,2026-06-20,REF0000185
MOV000186,O0448,I0075,Stock In,7,2026-01-09,REF0000186
MOV000187,O0017,I0188,Sale,29,2026-05-30,REF0000187
MOV000188,O0194,I0267,Sale,22,2026-08-14,REF0000188
MOV000189,O0003,I0008,Sale,22,2026-05-15,REF0000189
MOV000190,O0322,I0110,Sale,7,2025-10-30,REF0000190
MOV000191,O0162,I0058,Sale,4,2026-05-10,REF0000191
MOV000192,O0196,I0266,Transfer,18,2026-03-07,REF0000192
MOV000193,O0491,I0141,Transfer,20,2026-03-11,REF0000193
MOV000194,O0162,I0060,Sale,1,2025-12-05,REF0000194
MOV000195,O0309,I0097,Sale,14,2026-08-31,REF0000195
MOV000196,O0385,I0131,Stock In,22,2025-10-26,REF0000196
MOV000197,O0151,I0061,Adjustment,25,2026-02-08,REF0000197
MOV000198,O0035,I0199,Sale,17,2025-09-12,REF0000198
MOV000199,O0267,I0088,Stock In,16,2025-10-26,REF0000199
MOV000200,O0013,I0161,Return,11,2026-03-28,REF0000200
MOV000201,O0091,I0018,Sale,20,2026-02-03,REF0000201
MOV000202,O0016,I0163,Return,28,2025-10-27,REF0000202
MOV000203,O0088,I0037,Stock In,14,2026-04-09,REF0000203
MOV000204,O0038,I0191,Return,21,2026-07-15,REF0000204
MOV000205,O0116,I0046,Stock In,16,2026-07-27,REF0000205
MOV000206,O0219,I0075,Return,10,2025-09-14,REF0000206
MOV000207,O0474,I0102,Sale,13,2026-03-19,REF0000207
MOV000208,O0464,I0021,Sale,29,2025-09-21,REF0000208
MOV000209,O0021,I0017,Sale,21,2025-11-30,REF0000209
MOV000210,O0158,I0064,Sale,20,2026-07-30,REF0000210
MOV000211,O0128,I0050,Stock In,12,2026-04-21,REF0000211
MOV000212,O0482,I0021,Stock In,22,2026-05-22,REF0000212
MOV000213,O0071,I0016,Return,2,2025-10-15,REF0000213
MOV000214,O0144,I0059,Sale,8,2025-09-27,REF0000214
MOV000215,O0369,I0122,Stock In,3,2026-04-23,REF0000215
MOV000216,O0141,I0060,Transfer,27,2026-05-04,REF0000216
MOV000217,O0073,I0011,Sale,16,2026-03-29,REF0000217
MOV000218,O0470,I0021,Sale,15,2026-03-18,REF0000218
MOV000219,O0191,I0266,Return,10,2026-01-04,REF0000219
MOV000220,O0211,I0075,Adjustment,13,2026-01-17,REF0000220
MOV000221,O0119,I0044,Return,1,2026-03-07,REF0000221
MOV000222,O0131,I0054,Return,6,2025-11-20,REF0000222
MOV000223,O0169,I0061,Sale,27,2026-03-27,REF0000223
MOV000224,O0192,I0265,Stock In,27,2026-05-31,REF0000224
MOV000225,O0153,I0062,Stock In,2,2026-01-13,REF0000225
MOV000226,O0043,I0021,Stock In,12,2026-05-04,REF0000226
MOV000227,O0029,I0010,Sale,23,2026-04-07,REF0000227
MOV000228,O0414,I0019,Stock In,24,2026-06-29,REF0000228
MOV000229,O0185,I0274,Sale,28,2026-03-31,REF0000229
MOV000230,O0031,I0007,Return,11,2026-07-03,REF0000230
MOV000231,O0084,I0033,Return,2,2026-04-16,REF0000231
MOV000232,O0108,I0043,Sale,29,2025-09-15,REF0000232
MOV000233,O0070,I0026,Sale,11,2025-11-28,REF0000233
MOV000234,O0328,I0112,Stock In,13,2026-02-23,REF0000234
MOV000235,O0049,I0018,Sale,19,2026-07-02,REF0000235
MOV000236,O0443,I0076,Sale,6,2025-10-01,REF0000236
MOV000237,O0140,I0056,Sale,1,2026-05-13,REF0000237
MOV000238,O0221,I0077,Transfer,24,2025-11-09,REF0000238
MOV000239,O0496,I0140,Sale,13,2025-10-11,REF0000239
MOV000240,O0412,I0022,Stock In,17,2025-12-01,REF0000240
MOV000241,O0176,I0064,Sale,12,2025-12-20,REF0000241
MOV000242,O0411,I0018,Stock In,2,2026-07-22,REF0000242
MOV000243,O0246,I0085,Sale,11,2026-08-05,REF0000243
MOV000244,O0061,I0026,Return,30,2025-11-10,REF0000244
MOV000245,O0442,I0072,Stock In,28,2026-07-28,REF0000245
MOV000246,O0054,I0022,Stock In,10,2026-05-02,REF0000246
MOV000247,O0048,I0025,Sale,23,2026-07-19,REF0000247
MOV000248,O0032,I0201,Sale,27,2026-07-05,REF0000248
MOV000249,O0217,I0074,Stock In,23,2025-11-15,REF0000249
MOV000250,O0260,I0091,Sale,5,2026-06-09,REF0000250
MOV000251,O0451,I0049,Sale,10,2026-07-07,REF0000251
MOV000252,O0141,I0062,Stock In,10,2026-06-14,REF0000252
MOV000253,O0242,I0083,Stock In,2,2026-04-08,REF0000253
MOV000254,O0354,I0121,Sale,18,2025-10-13,REF0000254
MOV000255,O0105,I0040,Sale,19,2025-10-18,REF0000255
MOV000256,O0448,I0073,Stock In,26,2026-02-19,REF0000256
MOV000257,O0191,I0273,Stock In,24,2025-09-05,REF0000257
MOV000258,O0169,I0059,Adjustment,9,2026-02-05,REF0000258
MOV000259,O0043,I0018,Sale,5,2026-05-03,REF0000259
MOV000260,O0269,I0089,Sale,24,2025-12-05,REF0000260
MOV000261,O0212,I0073,Adjustment,22,2026-07-03,REF0000261
MOV000262,O0208,I0076,Sale,8,2026-07-22,REF0000262
MOV000263,O0310,I0098,Sale,23,2025-10-15,REF0000263
MOV000264,O0006,I0160,Sale,29,2026-07-30,REF0000264
MOV000265,O0142,I0065,Stock In,24,2026-04-12,REF0000265
MOV000266,O0158,I0064,Sale,14,2026-05-12,REF0000266
MOV000267,O0028,I0015,Stock In,15,2026-04-02,REF0000267
MOV000268,O0299,I0099,Return,17,2026-04-21,REF0000268
MOV000269,O0331,I0109,Stock In,30,2025-12-23,REF0000269
MOV000270,O0015,I0195,Sale,17,2026-03-18,REF0000270
MOV000271,O0460,I0049,Sale,4,2026-06-12,REF0000271
MOV000272,O0134,I0053,Stock In,4,2026-02-13,REF0000272
MOV000273,O0465,I0025,Stock In,6,2026-01-26,REF0000273
MOV000274,O0106,I0040,Sale,16,2025-11-14,REF0000274
MOV000275,O0386,I0130,Stock In,28,2026-02-10,REF0000275
MOV000276,O0038,I0159,Sale,7,2026-04-27,REF0000276
MOV000277,O0482,I0020,Sale,18,2025-11-19,REF0000277
MOV000278,O0214,I0075,Stock In,3,2026-04-27,REF0000278
MOV000279,O0304,I0096,Sale,26,2026-01-01,REF0000279
MOV000280,O0454,I0049,Return,22,2025-09-14,REF0000280
MOV000281,O0189,I0266,Sale,17,2026-05-30,REF0000281
MOV000282,O0387,I0132,Sale,20,2025-09-21,REF0000282
MOV000283,O0016,I0172,Sale,4,2026-01-08,REF0000283
MOV000284,O0270,I0090,Sale,9,2026-05-08,REF0000284
MOV000285,O0140,I0056,Stock In,21,2026-08-15,REF0000285
MOV000286,O0224,I0077,Sale,17,2026-06-01,REF0000286
MOV000287,O0347,I0114,Transfer,19,2026-06-21,REF0000287
MOV000288,O0169,I0058,Stock In,25,2026-03-01,REF0000288
MOV000289,O0354,I0120,Adjustment,25,2025-10-01,REF0000289
MOV000290,O0483,I0018,Stock In,30,2026-08-04,REF0000290
MOV000291,O0181,I0275,Sale,24,2026-02-09,REF0000291
MOV000292,O0027,I0012,Adjustment,29,2026-01-19,REF0000292
MOV000293,O0182,I0272,Return,1,2025-10-14,REF0000293
MOV000294,O0236,I0079,Sale,8,2026-05-27,REF0000294
MOV000295,O0289,I0095,Sale,3,2026-07-14,REF0000295
MOV000296,O0412,I0020,Sale,5,2025-10-31,REF0000296
MOV000297,O0369,I0123,Sale,11,2026-02-17,REF0000297
MOV000298,O0299,I0099,Sale,20,2026-01-09,REF0000298
MOV000299,O0010,I0198,Sale,3,2025-11-27,REF0000299
MOV000300,O0192,I0274,Sale,14,2026-04-27,REF0000300
MOV000301,O0313,I0108,Sale,5,2025-11-10,REF0000301
MOV000302,O0157,I0065,Return,23,2026-06-18,REF0000302
MOV000303,O0490,I0024,Stock In,15,2026-05-09,REF0000303
MOV000304,O0036,I0170,Stock In,28,2026-03-21,REF0000304
MOV000305,O0032,I0161,Sale,15,2026-05-30,REF0000305
MOV000306,O0206,I0073,Return,17,2025-09-15,REF0000306
MOV000307,O0157,I0059,Sale,20,2026-02-03,REF0000307
MOV000308,O0402,I0140,Sale,24,2026-04-22,REF0000308
MOV000309,O0412,I0025,Sale,18,2025-09-17,REF0000309
MOV000310,O0133,I0055,Stock In,24,2026-08-10,REF0000310
MOV000311,O0214,I0074,Adjustment,25,2026-05-29,REF0000311
MOV000312,O0193,I0263,Stock In,9,2025-09-06,REF0000312
MOV000313,O0115,I0047,Stock In,12,2026-07-14,REF0000313
MOV000314,O0109,I0043,Sale,14,2026-04-24,REF0000314
MOV000315,O0270,I0089,Stock In,3,2026-01-10,REF0000315
MOV000316,O0069,I0028,Stock In,24,2026-07-11,REF0000316
MOV000317,O0185,I0070,Stock In,6,2025-10-20,REF0000317
MOV000318,O0024,I0010,Stock In,10,2026-02-14,REF0000318
MOV000319,O0290,I0093,Sale,2,2026-01-09,REF0000319
MOV000320,O0161,I0064,Sale,6,2025-12-03,REF0000320
MOV000321,O0135,I0054,Return,10,2025-11-23,REF0000321
MOV000322,O0416,I0020,Stock In,21,2026-01-12,REF0000322
MOV000323,O0016,I0196,Return,10,2025-10-16,REF0000323
MOV000324,O0340,I0111,Stock In,11,2026-02-20,REF0000324
MOV000325,O0133,I0054,Return,30,2026-03-16,REF0000325
MOV000326,O0378,I0126,Transfer,16,2025-12-31,REF0000326
MOV000327,O0425,I0033,Transfer,24,2026-03-14,REF0000327
MOV000328,O0291,I0099,Stock In,10,2026-05-22,REF0000328
MOV000329,O0128,I0049,Stock In,29,2026-05-30,REF0000329
MOV000330,O0291,I0093,Transfer,13,2026-07-26,REF0000330
MOV000331,O0171,I0063,Adjustment,26,2026-06-14,REF0000331
MOV000332,O0227,I0079,Transfer,25,2025-12-14,REF0000332
MOV000333,O0465,I0021,Sale,1,2025-10-02,REF0000333
MOV000334,O0108,I0042,Stock In,26,2025-12-04,REF0000334
MOV000335,O0197,I0071,Stock In,17,2026-03-09,REF0000335
MOV000336,O0117,I0047,Stock In,21,2026-03-15,REF0000336
MOV000337,O0394,I0137,Sale,21,2026-01-21,REF0000337
MOV000338,O0015,I0002,Stock In,17,2026-06-11,REF0000338
MOV000339,O0477,I0104,Stock In,24,2025-12-21,REF0000339
MOV000340,O0198,I0267,Stock In,20,2025-11-25,REF0000340
MOV000341,O0003,I0189,Sale,20,2026-08-19,REF0000341
MOV000342,O0169,I0065,Stock In,6,2025-10-20,REF0000342
MOV000343,O0357,I0120,Sale,16,2025-10-03,REF0000343
MOV000344,O0366,I0123,Stock In,21,2026-01-22,REF0000344
MOV000345,O0083,I0035,Sale,6,2026-03-14,REF0000345
MOV000346,O0319,I0106,Stock In,24,2026-07-13,REF0000346
MOV000347,O0420,I0018,Transfer,12,2026-02-13,REF0000347
MOV000348,O0143,I0064,Transfer,20,2026-08-25,REF0000348
MOV000349,O0088,I0037,Sale,5,2026-02-09,REF0000349
MOV000350,O0456,I0050,Adjustment,6,2026-01-22,REF0000350
MOV000351,O0294,I0097,Stock In,7,2026-06-18,REF0000351
MOV000352,O0017,I0188,Adjustment,8,2026-08-29,REF0000352
MOV000353,O0007,I0189,Stock In,22,2026-01-14,REF0000353
MOV000354,O0282,I0096,Return,26,2025-10-09,REF0000354
MOV000355,O0015,I0196,Sale,24,2026-03-30,REF0000355
MOV000356,O0246,I0082,Sale,27,2026-02-08,REF0000356
MOV000357,O0029,I0012,Sale,17,2026-04-30,REF0000357
MOV000358,O0130,I0050,Sale,2,2026-08-10,REF0000358
MOV000359,O0279,I0092,Stock In,12,2026-04-27,REF0000359
MOV000360,O0254,I0086,Transfer,30,2026-07-11,REF0000360
MOV000361,O0116,I0047,Stock In,27,2026-01-24,REF0000361
MOV000362,O0253,I0091,Sale,28,2026-04-01,REF0000362
MOV000363,O0355,I0121,Stock In,28,2026-02-02,REF0000363
MOV000364,O0480,I0100,Sale,5,2025-10-21,REF0000364
MOV000365,O0163,I0059,Sale,7,2026-07-11,REF0000365
MOV000366,O0428,I0034,Transfer,19,2025-10-29,REF0000366
MOV000367,O0198,I0272,Return,29,2026-05-27,REF0000367
MOV000368,O0387,I0133,Adjustment,3,2026-06-06,REF0000368
MOV000369,O0030,I0014,Sale,17,2026-02-12,REF0000369
MOV000370,O0366,I0123,Sale,29,2026-08-04,REF0000370
MOV000371,O0233,I0080,Sale,12,2026-02-03,REF0000371
MOV000372,O0016,I0199,Sale,10,2025-11-25,REF0000372
MOV000373,O0248,I0085,Adjustment,29,2026-04-15,REF0000373
MOV000374,O0112,I0048,Sale,8,2026-06-13,REF0000374
MOV000375,O0104,I0041,Stock In,22,2026-03-17,REF0000375
MOV000376,O0177,I0060,Transfer,5,2026-03-18,REF0000376
MOV000377,O0015,I0200,Stock In,7,2025-11-26,REF0000377
MOV000378,O0207,I0072,Sale,14,2026-06-21,REF0000378
MOV000379,O0220,I0076,Stock In,12,2026-08-14,REF0000379
MOV000380,O0010,I0005,Stock In,24,2026-05-05,REF0000380
MOV000381,O0497,I0139,Stock In,14,2026-08-12,REF0000381
MOV000382,O0189,I0271,Transfer,10,2026-03-29,REF0000382
MOV000383,O0299,I0097,Stock In,21,2025-10-19,REF0000383
MOV000384,O0275,I0088,Transfer,24,2025-11-06,REF0000384
MOV000385,O0073,I0015,Sale,21,2026-06-21,REF0000385
MOV000386,O0359,I0121,Stock In,30,2026-08-11,REF0000386
MOV000387,O0239,I0077,Adjustment,13,2025-10-17,REF0000387
MOV000388,O0017,I0189,Sale,18,2026-08-12,REF0000388
MOV000389,O0361,I0123,Sale,18,2025-09-16,REF0000389
MOV000390,O0479,I0103,Stock In,8,2026-01-24,REF0000390
MOV000391,O0004,I0164,Sale,14,2026-02-22,REF0000391
MOV000392,O0279,I0087,Stock In,6,2026-02-19,REF0000392
MOV000393,O0471,I0101,Stock In,17,2026-06-28,REF0000393
MOV000394,O0203,I0072,Sale,25,2025-10-21,REF0000394
MOV000395,O0007,I0197,Stock In,28,2026-04-22,REF0000395
MOV000396,O0162,I0064,Sale,12,2025-10-12,REF0000396
MOV000397,O0021,I0010,Transfer,12,2026-06-05,REF0000397
MOV000398,O0001,I0196,Sale,9,2026-07-22,REF0000398
MOV000399,O0307,I0098,Sale,7,2025-09-13,REF0000399
MOV000400,O0176,I0065,Sale,10,2026-06-04,REF0000400
MOV000401,O0303,I0098,Return,13,2025-11-20,REF0000401
MOV000402,O0071,I0017,Stock In,9,2026-03-28,REF0000402
MOV000403,O0312,I0106,Stock In,29,2026-06-19,REF0000403
MOV000404,O0007,I0165,Sale,20,2025-10-01,REF0000404
MOV000405,O0071,I0012,Stock In,28,2026-07-21,REF0000405
MOV000406,O0012,I0006,Sale,14,2025-11-26,REF0000406
MOV000407,O0299,I0095,Sale,19,2025-11-16,REF0000407
MOV000408,O0014,I0191,Stock In,25,2025-10-18,REF0000408
MOV000409,O0352,I0119,Transfer,19,2025-10-25,REF0000409
MOV000410,O0193,I0270,Stock In,28,2026-04-15,REF0000410
MOV000411,O0329,I0109,Transfer,25,2025-12-27,REF0000411
MOV000412,O0301,I0097,Sale,5,2026-02-16,REF0000412
MOV000413,O0180,I0065,Sale,26,2026-07-23,REF0000413
MOV000414,O0069,I0028,Return,5,2026-06-05,REF0000414
MOV000415,O0082,I0035,Transfer,11,2026-01-02,REF0000415
MOV000416,O0018,I0188,Sale,19,2026-01-28,REF0000416
