outlet_id,item_id,inventory_id,minimum_stock,maximum_stock,current_stock,reorder_level,stock_status,last_updated
O0009,I0194,INV000154,17,53,99,26,Healthy,2026-08-31
O0009,I0199,INV000155,14,45,107,15,Healthy,2026-08-31
O0009,I0172,INV000156,19,99,63,22,Healthy,2026-08-31
O0009,I0196,INV000157,19,93,82,27,Healthy,2026-08-31
O0009,I0167,INV000158,15,53,8,16,Critical,2026-08-31
O0009,I0161,INV000159,27,63,16,30,Low Stock,2026-08-31
O0009,I0201,INV000160,25,108,9,25,Critical,2026-08-31
O0009,I0007,INV000161,25,96,117,33,Healthy,2026-08-31
O0009,I0198,INV000162,16,70,35,17,Healthy,2026-08-31
O0010,I0170,INV000163,16,43,63,18,Healthy,2026-08-31
O0010,I0166,INV000164,25,124,67,33,Healthy,2026-08-31
O0010,I0007,INV000165,27,100,112,31,Healthy,2026-08-31
O0010,I0198,INV000166,15,104,101,18,Healthy,2026-08-31
O0010,I0158,INV000167,18,97,1,26,Critical,2026-08-31
O0010,I0192,INV000168,16,85,27,23,Healthy,2026-08-31
O0010,I0197,INV000169,8,67,34,12,Healthy,2026-08-31
O0010,I0190,INV000170,20,83,38,25,Healthy,2026-08-31
O0010,I0194,INV000171,14,103,52,22,Healthy,2026-08-31
O0010,I0201,INV000172,20,47,109,25,Healthy,2026-08-31
O0010,I0003,INV000173,28,118,92,32,Healthy,2026-08-31
O0010,I0172,INV000174,23,91,111,27,Healthy,2026-08-31
O0010,I0001,INV000175,21,113,37,24,Healthy,2026-08-31
O0010,I0171,INV000176,17,104,38,18,Healthy,2026-08-31
O0010,I0162,INV000177,9,44,78,12,Healthy,2026-08-31
O0010,I0005,INV000178,21,113,112,28,Healthy,2026-08-31
O0010,I0193,INV000179,12,86,101,12,Healthy,2026-08-31
O0010,I0165,INV000180,9,82,113,15,Healthy,2026-08-31
O0011,I0194,INV000181,26,120,113,28,Healthy,2026-08-31
O0011,I0201,INV000182,26,81,91,34,Healthy,2026-08-31
O0011,I0159,INV000183,13,42,35,22,Healthy,2026-08-31
O0011,I0172,INV000184,9,99,62,9,Healthy,2026-08-31
O0011,I0163,INV000185,30,72,89,30,Healthy,2026-08-31
O0011,I0161,INV000186,9,104,68,9,Healthy,2026-08-31
O0011,I0199,INV000187,20,93,28,23,Healthy,2026-08-31
O0011,I0162,INV000188,10,53,59,19,Healthy,2026-08-31
O0011,I0003,INV000189,11,92,30,11,Healthy,2026-08-31
O0011,I0198,INV000190,28,58,18,36,Critical,2026-08-31
O0011,I0191,INV000191,8,81,42,14,Healthy,2026-08-31
O0011,I0169,INV000192,28,67,112,35,Healthy,2026-08-31
O0011,I0197,INV000193,8,41,39,17,Healthy,2026-08-31
O0011,I0196,INV000194,23,98,36,23,Healthy,2026-08-31
O0011,I0002,INV000195,22,115,33,29,Healthy,2026-08-31
O0011,I0188,INV000196,17,90,37,23,Healthy,2026-08-31
O0011,I0189,INV000197,19,108,9,20,Critical,2026-08-31
O0011,I0192,INV000198,9,74,3,15,Critical,2026-08-31
O0012,I0007,INV000199,26,113,6,34,Critical,2026-08-31
O0012,I0006,INV000200,16,50,34,22,Healthy,2026-08-31
O0012,I0161,INV000201,25,76,10,31,Critical,2026-08-31
O0012,I0193,INV000202,11,82,104,14,Healthy,2026-08-31
O0012,I0001,INV000203,16,43,113,22,Healthy,2026-08-31
O0012,I0190,INV000204,14,99,54,18,Healthy,2026-08-31
O0012,I0202,INV000205,9,63,66,10,Healthy,2026-08-31
O0012,I0194,INV000206,9,85,102,14,Healthy,2026-08-31
O0012,I0162,INV000207,17,61,59,22,Healthy,2026-08-31
O0012,I0008,INV000208,28,100,72,32,Healthy,2026-08-31
O0012,I0160,INV000209,8,99,52,17,Healthy,2026-08-31
O0012,I0005,INV000210,21,69,77,30,Healthy,2026-08-31
O0012,I0159,INV000211,22,116,85,24,Healthy,2026-08-31
O0012,I0163,INV000212,29,79,49,38,Healthy,2026-08-31
O0012,I0170,INV000213,13,68,77,13,Healthy,2026-08-31
O0012,I0003,INV000214,23,65,31,23,Healthy,2026-08-31
O0012,I0171,INV000215,16,52,105,24,Healthy,2026-08-31
O0012,I0199,INV000216,20,117,102,21,Healthy,2026-08-31
O0013,I0189,INV000217,9,72,114,15,Healthy,2026-08-31
O0013,I0009,INV000218,13,44,22,14,Healthy,2026-08-31
O0013,I0190,INV000219,30,77,84,35,Healthy,2026-08-31
O0013,I0004,INV000220,9,65,21,13,Healthy,2026-08-31
O0013,I0167,INV000221,24,93,13,31,Critical,2026-08-31
O0013,I0191,INV000222,9,67,42,12,Healthy,2026-08-31
O0013,I0193,INV000223,21,62,70,27,Healthy,2026-08-31
O0013,I0165,INV000224,13,112,97,13,Healthy,2026-08-31
O0013,I0003,INV000225,17,52,60,20,Healthy,2026-08-31
O0013,I0197,INV000226,22,62,34,31,Healthy,2026-08-31
O0013,I0196,INV000227,12,68,56,12,Healthy,2026-08-31
O0013,I0002,INV000228,28,57,39,34,Healthy,2026-08-31
O0013,I0166,INV000229,27,54,113,30,Healthy,2026-08-31
O0013,I0006,INV000230,8,89,81,10,Healthy,2026-08-31
O0013,I0164,INV000231,11,43,44,18,Healthy,2026-08-31
O0013,I0161,INV000232,22,64,102,28,Healthy,2026-08-31
O0013,I0158,INV000233,10,63,37,16,Healthy,2026-08-31
O0013,I0201,INV000234,28,84,75,29,Healthy,2026-08-31
O0014,I0198,INV000235,23,80,95,24,Healthy,2026-08-31
O0014,I0163,INV000236,9,69,66,12,Healthy,2026-08-31
O0014,I0161,INV000237,25,110,41,29,Healthy,2026-08-31
O0014,I0159,INV000238,30,70,69,31,Healthy,2026-08-31
O0014,I0007,INV000239,11,44,20,15,Healthy,2026-08-31
O0014,I0193,INV000240,20,61,84,20,Healthy,2026-08-31
O0014,I0196,INV000241,15,85,80,20,Healthy,2026-08-31
O0014,I0190,INV000242,18,56,54,24,Healthy,2026-08-31
O0014,I0005,INV000243,18,100,52,18,Healthy,2026-08-31
O0014,I0167,INV000244,22,113,59,22,Healthy,2026-08-31
O0014,I0172,INV000245,24,66,15,32,Critical,2026-08-31
O0014,I0160,INV000246,26,68,23,31,Low Stock,2026-08-31
O0014,I0002,INV000247,15,44,54,24,Healthy,2026-08-31
O0014,I0169,INV000248,16,49,23,20,Healthy,2026-08-31
O0014,I0199,INV000249,8,59,62,14,Healthy,2026-08-31
O0014,I0202,INV000250,27,64,77,33,Healthy,2026-08-31
O0014,I0191,INV000251,23,111,115,32,Healthy,2026-08-31
O0014,I0162,INV000252,30,84,81,31,Healthy,2026-08-31
O0015,I0162,INV000253,28,116,43,32,Healthy,2026-08-31
O0015,I0200,INV000254,26,72,96,29,Healthy,2026-08-31
O0015,I0191,INV000255,13,50,84,20,Healthy,2026-08-31
O0015,I0199,INV000256,11,62,68,14,Healthy,2026-08-31
O0015,I0171,INV000257,9,101,56,13,Healthy,2026-08-31
O0015,I0163,INV000258,23,98,81,26,Healthy,2026-08-31
O0015,I0167,INV000259,9,42,10,17,Low Stock,2026-08-31
O0015,I0196,INV000260,9,72,6,15,Critical,2026-08-31
O0015,I0195,INV000261,19,49,37,26,Healthy,2026-08-31
O0015,I0008,INV000262,23,116,50,30,Healthy,2026-08-31
O0015,I0166,INV000263,24,101,35,33,Healthy,2026-08-31
O0015,I0168,INV000264,12,106,74,17,Healthy,2026-08-31
O0015,I0158,INV000265,16,67,89,17,Healthy,2026-08-31
O0015,I0160,INV000266,8,84,53,15,Healthy,2026-08-31
O0015,I0002,INV000267,21,92,78,29,Healthy,2026-08-31
O0015,I0188,INV000268,17,66,78,20,Healthy,2026-08-31
O0015,I0202,INV000269,22,67,31,27,Healthy,2026-08-31
O0015,I0198,INV000270,28,80,98,34,Healthy,2026-08-31
O0016,I0008,INV000271,8,98,104,10,Healthy,2026-08-31
O0016,I0159,INV000272,30,87,98,37,Healthy,2026-08-31
O0016,I0195,INV000273,20,118,52,26,Healthy,2026-08-31
O0016,I0158,INV000274,16,90,79,25,Healthy,2026-08-31
O0016,I0196,INV000275,12,80,34,19,Healthy,2026-08-31
O0016,I0161,INV000276,8,42,11,16,Low Stock,2026-08-31
O0016,I0197,INV000277,30,91,1,32,Critical,2026-08-31
O0016,I0172,INV000278,13,82,4,20,Critical,2026-08-31
O0016,I0191,INV000279,19,52,1,25,Critical,2026-08-31
O0016,I0005,INV000280,26,54,51,34,Healthy,2026-08-31
O0016,I0004,INV000281,29,84,77,31,Healthy,2026-08-31
O0016,I0163,INV000282,28,104,113,36,Healthy,2026-08-31
O0016,I0171,INV000283,12,50,93,19,Healthy,2026-08-31
O0016,I0009,INV000284,8,106,16,15,Healthy,2026-08-31
O0016,I0201,INV000285,21,70,99,23,Healthy,2026-08-31
O0016,I0165,INV000286,27,102,23,32,Low Stock,2026-08-31
O0016,I0169,INV000287,30,61,54,33,Healthy,2026-08-31
O0016,I0199,INV000288,18,63,116,26,Healthy,2026-08-31
O0017,I0164,INV000289,22,51,8,22,Critical,2026-08-31
O0017,I0192,INV000290,8,99,46,13,Healthy,2026-08-31
O0017,I0005,INV000291,21,88,13,26,Critical,2026-08-31
O0017,I0193,INV000292,30,88,45,35,Healthy,2026-08-31
O0017,I0172,INV000293,19,71,39,19,Healthy,2026-08-31
O0017,I0189,INV000294,14,49,63,22,Healthy,2026-08-31
O0017,I0188,INV000295,23,55,88,26,Healthy,2026-08-31
O0017,I0194,INV000296,11,105,76,12,Healthy,2026-08-31
O0017,I0200,INV000297,19,66,75,21,Healthy,2026-08-31
O0017,I0202,INV000298,10,84,81,17,Healthy,2026-08-31
O0017,I0003,INV000299,21,51,23,27,Low Stock,2026-08-31
O0017,I0006,INV000300,25,51,4,25,Critical,2026-08-31
O0017,I0162,INV000301,21,94,39,27,Healthy,2026-08-31
O0017,I0009,INV000302,22,47,5,28,Critical,2026-08-31
O0017,I0197,INV000303,22,99,24,28,Low Stock,2026-08-31
O0017,I0168,INV000304,13,94,61,19,Healthy,2026-08-31
O0017,I0198,INV000305,27,80,108,32,Healthy,2026-08-31
O0017,I0167,INV000306,20,91,46,24,Healthy,2026-08-31
O0018,I0188,INV000307,24,56,13,24,Low Stock,2026-08-31
O0018,I0194,INV000308,27,78,13,35,Critical,2026-08-31
O0018,I0200,INV000309,16,98,107,25,Healthy,2026-08-31
O0018,I0168,INV000310,11,71,116,13,Healthy,2026-08-31
O0018,I0198,INV000311,16,89,117,23,Healthy,2026-08-31
O0018,I0004,INV000312,12,89,73,21,Healthy,2026-08-31
O0018,I0199,INV000313,19,54,65,20,Healthy,2026-08-31
O0018,I0002,INV000314,17,48,65,17,Healthy,2026-08-31
O0018,I0197,INV000315,14,45,8,23,Critical,2026-08-31
O0018,I0201,INV000316,29,83,33,30,Healthy,2026-08-31
O0018,I0007,INV000317,11,59,107,12,Healthy,2026-08-31
O0018,I0164,INV000318,28,123,46,37,Healthy,2026-08-31
O0018,I0171,INV000319,18,71,71,25,Healthy,2026-08-31
O0018,I0165,INV000320,8,50,107,10,Healthy,2026-08-31
O0018,I0195,INV000321,14,66,25,18,Healthy,2026-08-31
O0018,I0161,INV000322,22,49,107,29,Healthy,2026-08-31
O0018,I0202,INV000323,20,114,65,29,Healthy,2026-08-31
O0018,I0158,INV000324,17,112,27,17,Healthy,2026-08-31
O0019,I0002,INV000325,30,89,116,30,Healthy,2026-08-31
O0019,I0003,INV000326,22,56,114,29,Healthy,2026-08-31
O0019,I0164,INV000327,29,71,99,29,Healthy,2026-08-31
O0019,I0166,INV000328,25,85,18,29,Low Stock,2026-08-31
O0019,I0192,INV000329,25,53,107,25,Healthy,2026-08-31
O0019,I0195,INV000330,28,81,65,29,Healthy,2026-08-31
O0019,I0159,INV000331,23,101,65,25,Healthy,2026-08-31
O0019,I0165,INV000332,9,95,112,17,Healthy,2026-08-31
O0019,I0170,INV000333,13,105,116,15,Healthy,2026-08-31
O0019,I0199,INV000334,13,91,92,19,Healthy,2026-08-31
O0019,I0162,INV000335,26,114,51,27,Healthy,2026-08-31
O0019,I0196,INV000336,11,51,37,18,Healthy,2026-08-31
O0019,I0167,INV000337,28,87,13,31,Critical,2026-08-31
O0019,I0009,INV000338,29,90,80,33,Healthy,2026-08-31
O0019,I0007,INV000339,11,43,49,17,Healthy,2026-08-31
O0019,I0191,INV000340,9,102,19,15,Healthy,2026-08-31
O0019,I0171,INV000341,27,95,114,30,Healthy,2026-08-31
O0019,I0197,INV000342,27,119,44,29,Healthy,2026-08-31
O0020,I0007,INV000343,28,62,82,31,Healthy,2026-08-31
O0020,I0168,INV000344,19,87,8,27,Critical,2026-08-31
O0020,I0197,INV000345,28,109,35,34,Healthy,2026-08-31
O0020,I0165,INV000346,24,123,104,30,Healthy,2026-08-31
O0020,I0201,INV000347,8,58,26,12,Healthy,2026-08-31
O0020,I0195,INV000348,13,46,13,14,Low Stock,2026-08-31
O0020,I0164,INV000349,9,72,50,13,Healthy,2026-08-31
O0020,I0170,INV000350,19,48,13,27,Critical,2026-08-31
O0020,I0190,INV000351,20,56,65,24,Healthy,2026-08-31
O0020,I0003,INV000352,22,97,60,26,Healthy,2026-08-31
O0020,I0008,INV000353,17,97,3,18,Critical,2026-08-31
O0020,I0192,INV000354,8,35,115,17,Healthy,2026-08-31
O0020,I0163,INV000355,23,118,54,27,Healthy,2026-08-31
O0020,I0001,INV000356,22,62,56,29,Healthy,2026-08-31
O0020,I0005,INV000357,24,103,114,27,Healthy,2026-08-31
O0020,I0199,INV000358,24,85,109,33,Healthy,2026-08-31
O0020,I0200,INV000359,26,103,119,33,Healthy,2026-08-31
O0020,I0004,INV000360,9,51,103,10,Healthy,2026-08-31
O0021,I0011,INV000361,26,123,68,27,Healthy,2026-08-31
O0021,I0016,INV000362,29,106,100,30,Healthy,2026-08-31
O0021,I0010,INV000363,17,109,61,22,Healthy,2026-08-31
O0021,I0017,INV000364,29,73,27,36,Low Stock,2026-08-31
O0021,I0014,INV000365,17,100,9,20,Critical,2026-08-31
O0021,I0013,INV000366,12,108,110,19,Healthy,2026-08-31
O0021,I0012,INV000367,26,65,52,34,Healthy,2026-08-31
O0021,I0015,INV000368,25,53,114,27,Healthy,2026-08-31
O0022,I0015,INV000369,10,53,45,16,Healthy,2026-08-31
O0022,I0012,INV000370,8,88,43,13,Healthy,2026-08-31
O0022,I0011,INV000371,8,80,3,16,Critical,2026-08-31
O0022,I0013,INV000372,16,49,27,23,Healthy,2026-08-31
O0022,I0016,INV000373,28,116,89,35,Healthy,2026-08-31
O0022,I0017,INV000374,23,103,95,24,Healthy,2026-08-31
O0022,I0010,INV000375,27,122,50,29,Healthy,2026-08-31
O0022,I0014,INV000376,28,60,10,28,Critical,2026-08-31
O0023,I0012,INV000377,15,51,116,17,Healthy,2026-08-31
O0023,I0016,INV000378,26,67,83,26,Healthy,2026-08-31
O0023,I0010,INV000379,21,66,39,21,Healthy,2026-08-31
O0023,I0013,INV000380,20,90,18,26,Low Stock,2026-08-31
O0023,I0017,INV000381,12,88,86,15,Healthy,2026-08-31
O0023,I0015,INV000382,12,95,71,12,Healthy,2026-08-31
O0023,I0011,INV000383,13,65,77,21,Healthy,2026-08-31
O0023,I0014,INV000384,10,53,18,14,Healthy,2026-08-31
O0024,I0017,INV000385,25,61,104,33,Healthy,2026-08-31
O0024,I0016,INV000386,16,93,101,21,Healthy,2026-08-31
O0024,I0011,INV000387,14,40,67,16,Healthy,2026-08-31
O0024,I0012,INV000388,8,99,87,16,Healthy,2026-08-31
O0024,I0015,INV000389,27,120,75,27,Healthy,2026-08-31
O0024,I0014,INV000390,18,81,102,21,Healthy,2026-08-31
O0024,I0010,INV000391,20,74,12,22,Low Stock,2026-08-31
O0024,I0013,INV000392,13,48,9,14,Low Stock,2026-08-31
O0025,I0011,INV000393,30,56,83,38,Healthy,2026-08-31
O0025,I0012,INV000394,26,124,98,26,Healthy,2026-08-31
O0025,I0017,INV000395,10,49,45,18,Healthy,2026-08-31
O0025,I0016,INV000396,18,79,2,24,Critical,2026-08-31
O0025,I0015,INV000397,20,103,81,29,Healthy,2026-08-31
O0025,I0014,INV000398,18,108,53,23,Healthy,2026-08-31
O0025,I0013,INV000399,18,52,117,21,Healthy,2026-08-31
O0025,I0010,INV000400,21,115,39,21,Healthy,2026-08-31
O0026,I0016,INV000401,17,93,2,23,Critical,2026-08-31
O0026,I0014,INV000402,25,116,98,34,Healthy,2026-08-31
O0026,I0013,INV000403,13,112,77,16,Healthy,2026-08-31
O0026,I0012,INV000404,11,44,25,11,Healthy,2026-08-31
O0026,I0010,INV000405,21,108,61,23,Healthy,2026-08-31
O0026,I0015,INV000406,12,45,32,19,Healthy,2026-08-31
O0026,I0017,INV000407,10,87,69,10,Healthy,2026-08-31
O0026,I0011,INV000408,11,63,75,19,Healthy,2026-08-31
O0027,I0016,INV000409,14,40,107,15,Healthy,2026-08-31
O0027,I0015,INV000410,16,58,101,16,Healthy,2026-08-31
O0027,I0013,INV000411,29,105,79,36,Healthy,2026-08-31
O0027,I0017,INV000412,11,77,74,19,Healthy,2026-08-31
O0027,I0012,INV000413,26,56,84,32,Healthy,2026-08-31
O0027,I0014,INV000414,25,96,78,26,Healthy,2026-08-31
O0027,I0010,INV000415,16,45,63,16,Healthy,2026-08-31
O0027,I0011,INV000416,15,64,52,24,Healthy,2026-08-31
O0028,I0014,INV000417,19,71,33,27,Healthy,2026-08-31
O0028,I0010,INV000418,13,68,57,14,Healthy,2026-08-31
O0028,I0016,INV000419,8,103,35,10,Healthy,2026-08-31
O0028,I0011,INV000420,19,103,100,26,Healthy,2026-08-31
O0028,I0017,INV000421,18,46,102,23,Healthy,2026-08-31
