performance_id,outlet_id,period,revenue,previous_revenue,target_revenue,orders,customers,revenue_growth,target_achievement,aov,health_score,performance_status
P00123,O0123,2026-08,5412.49,2465.34,5856.25,10,10,119.54,92.42,541.25,81,Good
P00124,O0124,2026-08,7278.0599999999995,4996.06,7593.15,8,8,45.68,95.85,909.76,83,Good
P00125,O0125,2026-08,5066.96,4218.12,5213.08,10,10,20.12,97.2,506.7,81,Good
P00126,O0126,2026-08,7414.389999999999,6385.28,7913.79,9,9,16.12,93.69,823.82,88,Excellent
P00127,O0127,2026-08,8411.810000000001,6491.09,8631.61,13,13,29.59,97.45,647.06,92,Excellent
P00128,O0128,2026-08,7380.56,2993.13,7217.38,11,11,146.58,102.26,670.96,91,Excellent
P00129,O0129,2026-08,6612.68,3550.48,7072.0,12,12,86.25,93.51,551.06,81,Good
P00130,O0130,2026-08,5168.99,5233.22,5245.41,10,10,-1.23,98.54,516.9,79,Good
P00131,O0131,2026-08,8684.44,6021.820000000001,8293.66,15,15,44.22,104.71,578.96,93,Excellent
P00132,O0132,2026-08,6754.07,6610.04,7131.17,15,15,2.18,94.71,450.27,74,Good
P00133,O0133,2026-08,7315.31,7088.53,7739.91,16,16,3.2,94.51,457.21,81,Good
P00134,O0134,2026-08,4631.3,3401.75,4999.24,8,8,36.14,92.64,578.91,83,Good
P00135,O0135,2026-08,4501.87,6576.36,4627.27,10,10,-31.54,97.29,450.19,78,Good
P00136,O0136,2026-08,11348.66,6244.94,11480.36,15,15,81.73,98.85,756.58,86,Excellent
P00137,O0137,2026-08,6873.47,8492.85,7414.28,12,12,-19.07,92.71,572.79,76,Good
P00138,O0138,2026-08,6873.99,6157.98,6879.39,10,10,11.63,99.92,687.4,81,Good
P00139,O0139,2026-08,7560.43,7428.58,8278.73,13,13,1.77,91.32,581.57,75,Good
P00140,O0140,2026-08,6301.38,7537.4400000000005,6801.46,14,14,-16.4,92.65,450.1,74,Good
P00141,O0141,2026-08,22063.5,9994.52,21596.28,26,26,120.76,102.16,848.6,91,Excellent
P00142,O0142,2026-08,18223.97,17035.34,18048.02,26,26,6.98,100.97,700.92,75,Good
P00143,O0143,2026-08,11088.11,13386.55,12117.49,15,15,-17.17,91.51,739.21,64,Average
P00144,O0144,2026-08,6441.6,22283.16,6444.87,12,12,-71.09,99.95,536.8,66,Average
P00145,O0145,2026-08,13757.7,11244.03,13914.09,18,18,22.36,98.88,764.32,77,Good
P00146,O0146,2026-08,11218.380000000001,15858.210000000001,11895.37,19,19,-29.26,94.31,590.44,73,Good
P00147,O0147,2026-08,8993.34,10580.19,8688.21,16,16,-15.0,103.51,562.08,84,Good
P00148,O0148,2026-08,15364.69,12522.029999999999,14984.97,17,17,22.7,102.53,903.81,94,Excellent
P00149,O0149,2026-08,9182.960000000001,8825.19,10274.41,13,13,4.05,89.38,706.38,69,Average
P00150,O0150,2026-08,12372.76,10094.15,13037.97,22,22,22.57,94.9,562.4,77,Good
P00151,O0151,2026-08,15224.06,8957.98,15071.52,21,21,69.95,101.01,724.96,95,Excellent
P00152,O0152,2026-08,13413.86,17955.73,14558.68,19,19,-25.29,92.14,705.99,65,Average
P00153,O0153,2026-08,21187.64,14350.15,23258.75,26,26,47.65,91.1,814.91,87,Excellent
P00154,O0154,2026-08,16440.38,14651.82,17620.32,26,26,12.21,93.3,632.32,77,Good
P00155,O0155,2026-08,12049.19,12707.45,12731.17,18,18,-5.18,94.64,669.4,68,Average
P00156,O0156,2026-08,12989.32,22572.81,12658.72,18,18,-42.46,102.61,721.63,73,Good
P00157,O0157,2026-08,9511.890000000001,13943.89,9177.42,15,15,-31.78,103.64,634.13,68,Average
P00158,O0158,2026-08,15626.43,13631.54,15021.22,20,20,14.63,104.03,781.32,94,Excellent
P00159,O0159,2026-08,16823.73,14110.96,18166.13,20,20,19.22,92.61,841.19,86,Excellent
P00160,O0160,2026-08,12738.7,12307.89,12829.94,18,18,3.5,99.29,707.71,81,Good
P00161,O0161,2026-08,11515.78,17261.73,10999.9,13,13,-33.29,104.69,885.83,74,Good
P00162,O0162,2026-08,9445.61,15138.14,10182.7,14,14,-37.6,92.76,674.69,70,Good
P00163,O0163,2026-08,10434.47,12515.2,10351.71,17,17,-16.63,100.8,613.79,74,Good
P00164,O0164,2026-08,12906.43,11400.029999999999,13453.29,16,16,13.21,95.94,806.65,73,Good
P00165,O0165,2026-08,12074.6,16035.87,12052.47,13,13,-24.7,100.18,928.82,71,Good
P00166,O0166,2026-08,12086.21,13566.19,11624.16,22,22,-10.91,103.97,549.37,79,Good
P00167,O0167,2026-08,11700.48,10896.19,11503.9,18,18,7.38,101.71,650.03,87,Excellent
P00168,O0168,2026-08,10712.79,11574.94,11394.37,16,16,-7.45,94.02,669.55,68,Average
P00169,O0169,2026-08,5258.28,6062.99,5329.61,12,12,-13.27,98.66,438.19,78,Good
P00170,O0170,2026-08,15935.39,13085.81,16237.98,22,22,21.78,98.14,724.34,89,Excellent
P00171,O0171,2026-08,16297.16,11705.92,16571.36,20,20,39.22,98.35,814.86,94,Excellent
P00172,O0172,2026-08,15038.77,10704.619999999999,15279.94,16,16,40.49,98.42,939.92,87,Excellent
P00173,O0173,2026-08,12478.76,13636.29,13500.24,16,16,-8.49,92.43,779.92,75,Good
P00174,O0174,2026-08,15641.0,10769.93,15032.61,18,18,45.23,104.05,868.94,94,Excellent
P00175,O0175,2026-08,10820.75,8065.450000000001,10825.2,17,17,34.16,99.96,636.51,90,Excellent
P00176,O0176,2026-08,11518.29,8315.01,12366.89,20,20,38.52,93.14,575.91,88,Excellent
P00177,O0177,2026-08,14695.82,9053.76,16289.32,24,24,62.32,90.22,612.33,79,Good
P00178,O0178,2026-08,15935.11,15735.710000000001,17713.65,27,27,1.27,89.96,590.19,73,Good
P00179,O0179,2026-08,12467.99,10327.39,12532.08,12,12,20.73,99.49,1039.0,84,Good
P00180,O0180,2026-08,18354.15,12711.05,17913.49,24,24,44.4,102.46,764.76,86,Excellent
P00181,O0181,2026-08,21140.89,19607.17,20200.27,43,43,7.82,104.66,491.65,81,Good
P00182,O0182,2026-08,12814.22,16013.84,12799.3,37,37,-19.98,100.12,346.33,82,Good
P00183,O0183,2026-08,15245.04,15954.62,15329.33,38,38,-4.45,99.45,401.19,82,Good
P00184,O0184,2026-08,16799.78,19843.21,17765.58,39,39,-15.34,94.56,430.76,74,Good
P00185,O0185,2026-08,18983.71,19689.92,18421.94,44,44,-3.59,103.05,431.45,76,Good
P00186,O0186,2026-08,22495.72,21446.64,24558.94,47,47,4.89,91.6,478.63,70,Good
P00187,O0187,2026-08,19801.829999999998,23734.08,19171.83,46,46,-16.57,103.29,430.47,83,Good
P00188,O0188,2026-08,11498.63,11371.61,12813.4,24,24,1.12,89.74,479.11,79,Good
P00189,O0189,2026-08,15911.25,22125.87,15145.52,38,38,-28.09,105.06,418.72,77,Good
P00190,O0190,2026-08,15598.79,19740.2,15315.25,37,37,-20.98,101.85,421.59,69,Average
P00191,O0191,2026-08,19581.77,18658.78,20927.65,49,49,4.95,93.57,399.63,70,Good
P00192,O0192,2026-08,17315.7,16814.98,17567.4,45,45,2.98,98.57,384.79,83,Good
P00193,O0193,2026-08,12499.85,14186.19,12066.03,34,34,-11.89,103.6,367.64,77,Good
P00194,O0194,2026-08,28742.86,20077.58,32089.2,55,55,43.16,89.57,522.6,80,Good
P00195,O0195,2026-08,23394.73,21410.39,23114.95,57,57,9.27,101.21,410.43,91,Excellent
P00196,O0196,2026-08,23863.31,14274.34,25167.31,52,52,67.18,94.82,458.91,95,Excellent
P00197,O0197,2026-08,20273.83,14805.51,22447.74,48,48,36.93,90.32,422.37,87,Excellent
P00198,O0198,2026-08,13878.97,15293.970000000001,13465.03,30,30,-9.25,103.07,462.63,83,Good
P00199,O0199,2026-08,20368.59,21752.74,19953.59,50,50,-6.36,102.08,407.37,80,Good
P00200,O0200,2026-08,19313.02,17382.37,21130.07,44,44,11.11,91.4,438.93,73,Good
P00201,O0201,2026-08,4420.17,1188.03,4364.26,16,16,272.06,101.28,276.26,100,Excellent
P00202,O0202,2026-08,4773.18,1937.69,5199.74,15,15,146.33,91.8,318.21,91,Excellent
P00203,O0203,2026-08,2386.63,2521.42,2667.78,7,7,-5.35,89.46,340.95,77,Good
P00204,O0204,2026-08,3693.27,5833.16,3724.15,15,15,-36.68,99.17,246.22,72,Good
P00205,O0205,2026-08,3709.0,2522.65,3896.39,14,14,47.03,95.19,264.93,89,Excellent
P00206,O0206,2026-08,4541.72,1617.96,4735.25,15,15,180.71,95.91,302.78,84,Good
P00207,O0207,2026-08,2605.07,3398.4300000000003,2873.08,9,9,-23.34,90.67,289.45,68,Average
P00208,O0208,2026-08,3263.56,3099.04,3648.1,13,13,5.31,89.46,251.04,72,Good
P00209,O0209,2026-08,4239.33,3959.41,4382.18,18,18,7.07,96.74,235.52,78,Good
P00210,O0210,2026-08,4470.47,2890.0299999999997,4928.16,16,16,54.69,90.71,279.4,80,Good
P00211,O0211,2026-08,4828.66,4078.34,5350.45,15,15,18.4,90.25,321.91,75,Good
P00212,O0212,2026-08,2989.42,3010.91,3072.13,9,9,-0.71,97.31,332.16,71,Good
P00213,O0213,2026-08,2458.5,2408.79,2541.29,6,6,2.06,96.74,409.75,73,Good
P00214,O0214,2026-08,1332.56,2275.26,1374.88,5,5,-41.43,96.92,266.51,70,Good
P00215,O0215,2026-08,2623.39,3986.82,2901.62,10,10,-34.2,90.41,262.34,61,Average
P00216,O0216,2026-08,2814.38,4054.3599999999997,3000.9,11,11,-30.58,93.78,255.85,64,Average
P00217,O0217,2026-08,1688.14,5001.99,1776.29,5,5,-66.25,95.04,337.63,67,Average
P00218,O0218,2026-08,3433.58,1797.27,3660.4,10,10,91.04,93.8,343.36,95,Excellent
P00219,O0219,2026-08,3092.8500000000004,3809.61,3290.73,11,11,-18.81,93.99,281.17,68,Average
P00220,O0220,2026-08,2891.93,4801.8,3227.27,9,9,-39.77,89.61,321.33,69,Average
P00221,O0221,2026-08,4268.5599999999995,2795.08,4745.78,15,15,52.72,89.94,284.57,90,Excellent
P00222,O0222,2026-08,3216.52,2828.39,3517.19,9,9,13.72,91.45,357.39,74,Good
P00223,O0223,2026-08,4834.56,2635.08,4874.31,14,14,83.47,99.18,345.33,92,Excellent
P00224,O0224,2026-08,3539.88,5631.06,3545.57,7,7,-37.14,99.84,505.7,77,Good
P00225,O0225,2026-08,4795.82,5070.7,5112.66,14,14,-5.42,93.8,342.56,76,Good
P00226,O0226,2026-08,2303.02,5439.91,2506.59,8,8,-57.66,91.88,287.88,65,Average
P00227,O0227,2026-08,2596.11,3440.02,2574.05,8,8,-24.53,100.86,324.51,78,Good
P00228,O0228,2026-08,6259.47,3619.88,6804.76,18,18,72.92,91.99,347.75,87,Excellent
P00229,O0229,2026-08,2267.43,4773.65,2405.82,10,10,-52.5,94.25,226.74,69,Average
P00230,O0230,2026-08,2447.65,2173.81,2582.27,9,9,12.6,94.79,271.96,87,Excellent
P00231,O0231,2026-08,5314.23,5514.02,5250.91,15,15,-3.62,101.21,354.28,86,Excellent
P00232,O0232,2026-08,3225.7799999999997,3876.22,3105.24,10,10,-16.78,103.88,322.58,77,Good
P00233,O0233,2026-08,3631.7400000000002,2395.2,4040.21,11,11,51.63,89.89,330.16,79,Good
P00234,O0234,2026-08,2927.18,3380.2999999999997,3056.02,7,7,-13.4,95.78,418.17,78,Good
P00235,O0235,2026-08,6429.23,4265.61,7059.36,13,13,50.72,91.07,494.56,91,Excellent
P00236,O0236,2026-08,2427.87,3768.66,2589.08,9,9,-35.58,93.77,269.76,62,Average
P00237,O0237,2026-08,5013.34,4860.59,5123.6,15,15,3.14,97.85,334.22,74,Good
P00238,O0238,2026-08,3788.94,6111.28,3642.45,11,11,-38.0,104.02,344.45,68,Average
P00239,O0239,2026-08,2134.66,1524.64,2111.59,9,9,40.01,101.09,237.18,83,Good
P00240,O0240,2026-08,3940.69,4011.24,3762.25,12,12,-1.76,104.74,328.39,81,Good
P00241,O0241,2026-08,5092.94,4755.05,5615.41,14,14,7.11,90.7,363.78,78,Good
P00242,O0242,2026-08,2437.23,4035.2,2551.47,9,9,-39.6,95.52,270.8,68,Average
P00243,O0243,2026-08,4232.34,1092.23,4557.92,11,11,287.5,92.86,384.76,85,Excellent
P00244,O0244,2026-08,2225.36,3809.0,2402.69,5,5,-41.58,92.62,445.07,72,Good
P00245,O0245,2026-08,5886.69,4132.18,6069.36,17,17,42.46,96.99,346.28,83,Good
P00246,O0246,2026-08,1268.95,2054.6800000000003,1392.3,5,5,-38.24,91.14,253.79,59,Poor
P00247,O0247,2026-08,2472.0899999999997,3689.7299999999996,2512.57,11,11,-33.0,98.39,224.74,68,Average
P00248,O0248,2026-08,4356.94,2828.86,4731.03,13,13,54.02,92.09,335.15,90,Excellent
P00249,O0249,2026-08,3731.0,3019.78,3700.11,10,10,23.55,100.83,373.1,92,Excellent
P00250,O0250,2026-08,3277.92,2593.31,3545.59,9,9,26.4,92.45,364.21,82,Good
P00251,O0251,2026-08,4730.17,3736.63,4972.33,19,19,26.59,95.13,248.96,85,Excellent
P00252,O0252,2026-08,3278.05,3863.63,3648.94,17,17,-15.16,89.84,192.83,68,Average
P00253,O0253,2026-08,3595.27,4906.610000000001,3525.68,15,15,-26.73,101.97,239.68,82,Good
P00254,O0254,2026-08,4933.01,4658.57,4888.33,23,23,5.89,100.91,214.48,79,Good
P00255,O0255,2026-08,3365.9,3138.71,3430.59,13,13,7.24,98.11,258.92,82,Good
P00256,O0256,2026-08,3074.29,5381.0,3190.48,17,17,-42.87,96.36,180.84,68,Average
P00257,O0257,2026-08,4872.09,3774.35,4748.54,17,17,29.08,102.6,286.59,94,Excellent
P00258,O0258,2026-08,2329.12,4881.54,2411.1,12,12,-52.29,96.6,194.09,59,Poor
P00259,O0259,2026-08,3864.4300000000003,2665.27,3994.12,17,17,44.99,96.75,227.32,83,Good
P00260,O0260,2026-08,4422.13,4443.29,4824.12,14,14,-0.48,91.67,315.87,78,Good
P00261,O0261,2026-08,5648.0199999999995,3880.0699999999997,6041.19,23,23,45.56,93.49,245.57,81,Good
P00262,O0262,2026-08,4506.75,6656.09,4631.97,18,18,-32.29,97.3,250.38,64,Average
P00263,O0263,2026-08,3706.4900000000002,2962.44,4007.93,16,16,25.12,92.48,231.66,75,Good
P00264,O0264,2026-08,3480.85,4416.29,3633.22,22,22,-21.18,95.81,158.22,73,Good
P00265,O0265,2026-08,4246.0599999999995,1963.13,4354.87,18,18,116.29,97.5,235.89,86,Excellent
P00266,O0266,2026-08,3232.5499999999997,5387.04,3602.67,12,12,-39.99,89.73,269.38,58,Poor
P00267,O0267,2026-08,5887.4,4770.33,6003.33,21,21,23.42,98.07,280.35,91,Excellent
P00268,O0268,2026-08,1651.45,4390.64,1593.26,9,9,-62.39,103.65,183.49,77,Good
P00269,O0269,2026-08,3332.37,3658.35,3577.24,14,14,-8.91,93.15,238.03,79,Good
P00270,O0270,2026-08,7620.3099999999995,5053.05,7910.52,23,23,50.81,96.33,331.32,85,Excellent
P00271,O0271,2026-08,4069.3799999999997,4676.47,4180.74,16,16,-12.98,97.34,254.34,72,Good
P00272,O0272,2026-08,4467.34,3782.99,4757.32,18,18,18.09,93.9,248.19,75,Good
