campaign_id,franchise_id,campaign_name,campaign_type,start_date,end_date,budget,impressions,clicks,conversions,revenue_generated,roi_pct
CMP00052,F015,Weekend Pizza Deal,Search,2026-07-12,2026-07-17,73662,93768,2298,750,349535.09,374.51
CMP00053,F032,Family Meal Combo,Loyalty,2026-05-08,2026-05-27,29617,107909,11579,349,32288.64,9.02
CMP00054,F048,Family Meal Combo,Search,2025-10-09,2025-10-14,45832,38454,375,244,109813.0,139.6
CMP00055,F007,Weekend Biryani Offer,Loyalty,2025-09-20,2025-09-28,13718,87870,1820,494,31942.41,132.85
CMP00056,F006,Family Feast Weekend,Search,2026-06-28,2026-07-07,57218,16012,905,506,107635.21,88.11
CMP00057,F030,Lunch Combo Campaign,Local Promotion,2025-11-12,2025-11-19,56791,115495,5164,1874,97053.07,70.9
CMP00058,F023,New Menu Launch,Social Media,2026-05-16,2026-05-19,65102,49096,1600,136,282865.98,334.5
CMP00059,F003,Lunch Combo Campaign,Local Promotion,2026-04-09,2026-04-12,29483,81312,11809,1354,58924.59,99.86
CMP00060,F013,Loyalty Customer Offer,Search,2025-09-08,2025-09-11,54918,136032,5277,972,50382.77,-8.26
CMP00061,F017,Family Feast Weekend,Festival,2025-10-06,2025-10-14,62347,78697,425,307,182910.04,193.37
CMP00062,F019,Monsoon Food Festival,Loyalty,2026-08-21,2026-09-11,15002,18719,3412,1056,46319.67,208.76
CMP00063,F004,Monsoon Food Festival,Loyalty,2025-10-07,2025-10-24,63178,28935,2641,301,124406.15,96.91
CMP00064,F028,Festive Dinner Promotion,Loyalty,2026-05-28,2026-06-07,36441,47173,5438,1810,121053.08,232.19
CMP00065,F029,Chef Special Promotion,Search,2026-06-18,2026-07-05,32217,16300,2688,1301,26735.83,-17.01
CMP00066,F021,Festive Dinner Promotion,Local Promotion,2026-07-07,2026-07-12,14811,16249,2252,71,19840.59,33.96
CMP00067,F031,Lunch Combo Campaign,Social Media,2026-04-12,2026-04-24,46784,33531,2382,1721,109685.63,134.45
CMP00068,F007,Monsoon Food Festival,Festival,2026-04-03,2026-04-09,24656,6214,806,240,93112.07,277.64
CMP00069,F017,Monsoon Food Festival,Festival,2026-03-02,2026-03-22,36899,6330,459,432,74408.92,101.66
CMP00070,F021,Family Meal Combo,Social Media,2026-07-12,2026-07-23,64113,6874,475,390,136322.94,112.63
CMP00071,F021,Student Meal Offer,Social Media,2026-06-16,2026-07-06,62159,26187,4925,1568,132894.0,113.8
CMP00072,F025,Lunch Combo Campaign,Local Promotion,2026-03-01,2026-03-10,41790,18558,3615,501,32755.26,-21.62
CMP00073,F043,Chef Special Promotion,Search,2026-07-23,2026-07-26,55893,105851,13238,74,107871.51,93.0
CMP00074,F007,Weekend Biryani Offer,Social Media,2026-05-10,2026-05-21,14445,90428,2691,1875,59657.67,313.0
CMP00075,F044,New Menu Launch,Festival,2026-05-25,2026-05-31,33398,110051,11350,783,51951.22,55.55
CMP00076,F025,Student Meal Offer,Festival,2025-12-03,2025-12-11,65876,73801,11444,895,275219.29,317.78
CMP00077,F029,Loyalty Customer Offer,Festival,2026-05-23,2026-06-03,11516,96359,12422,21,39966.16,247.05
CMP00078,F049,Weekend Pizza Deal,Social Media,2026-03-08,2026-03-28,15254,105302,9845,173,41046.48,169.09
CMP00079,F010,Student Meal Offer,Search,2025-10-20,2025-10-29,63904,124850,19703,1021,144724.86,126.47
CMP00080,F026,Student Meal Offer,Search,2026-06-28,2026-07-16,32730,130555,17632,1992,150003.66,358.31
CMP00081,F011,Student Meal Offer,Social Media,2026-02-19,2026-02-26,53678,43477,7375,710,149860.3,179.18
CMP00082,F006,Loyalty Customer Offer,Festival,2026-08-04,2026-08-16,25941,77093,14818,1249,56074.45,116.16
CMP00083,F007,Festive Dinner Promotion,Festival,2025-10-16,2025-10-26,74989,110639,10913,1158,317585.98,323.51
CMP00084,F002,Loyalty Customer Offer,Local Promotion,2026-06-25,2026-07-03,42902,94696,11969,773,170038.13,296.34
CMP00085,F032,New Menu Launch,Festival,2026-06-12,2026-06-17,51393,147860,8195,720,216045.4,320.38
CMP00086,F044,Lunch Combo Campaign,Local Promotion,2026-06-01,2026-06-18,74406,124293,20697,1201,173435.88,133.09
CMP00087,F027,Student Meal Offer,Local Promotion,2026-02-05,2026-02-09,22173,34769,3793,1416,76206.47,243.69
CMP00088,F013,Student Meal Offer,Loyalty,2026-02-02,2026-02-22,32459,37754,4289,955,124972.07,285.02
CMP00089,F037,Student Meal Offer,Loyalty,2025-09-26,2025-10-13,39499,18962,3634,1767,169299.0,328.62
CMP00090,F002,Family Meal Combo,Local Promotion,2025-09-20,2025-10-02,68689,115445,7452,517,230410.89,235.44
CMP00091,F026,Weekend Pizza Deal,Loyalty,2026-03-01,2026-03-14,26786,71883,6714,1712,96924.43,261.85
CMP00092,F005,New Menu Launch,Festival,2026-02-23,2026-03-08,67243,61813,3405,1017,183565.1,172.99
CMP00093,F047,Festive Dinner Promotion,Search,2026-02-01,2026-02-10,44810,134102,10108,1225,45065.8,0.57
CMP00094,F050,Student Meal Offer,Social Media,2026-07-21,2026-08-06,38870,147049,4236,600,84388.97,117.11
CMP00095,F011,New Menu Launch,Search,2026-07-15,2026-07-29,15517,15987,1936,734,59692.32,284.69
CMP00096,F026,Family Feast Weekend,Festival,2026-07-26,2026-08-09,74963,138697,6571,255,266012.36,254.86
CMP00097,F011,Loyalty Customer Offer,Search,2026-01-05,2026-01-12,61510,81545,9711,712,87985.71,43.04
CMP00098,F044,Loyalty Customer Offer,Festival,2026-06-26,2026-07-08,43462,58544,2303,263,165752.7,281.37
CMP00099,F022,Chef Special Promotion,Search,2026-02-15,2026-03-02,12913,21185,419,126,46780.06,262.27
CMP00100,F014,New Menu Launch,Local Promotion,2026-01-01,2026-01-15,74585,73157,10394,64,108415.74,45.36
CMP00101,F046,Chef Special Promotion,Festival,2026-05-28,2026-06-04,25052,83118,6748,592,114824.57,358.34
CMP00102,F036,Lunch Combo Campaign,Search,2025-10-08,2025-10-12,27687,92513,7295,692,47352.12,71.03
CMP00103,F042,Student Meal Offer,Local Promotion,2025-09-21,2025-10-12,67985,102113,2115,922,193685.55,184.89
CMP00104,F031,Family Meal Combo,Festival,2025-12-24,2026-01-01,14885,121390,2536,525,12006.0,-19.34
CMP00105,F005,Loyalty Customer Offer,Local Promotion,2026-06-01,2026-06-15,22036,147874,20138,1808,38585.48,75.1
CMP00106,F045,Family Feast Weekend,Local Promotion,2025-09-15,2025-09-26,54040,117014,15417,1039,130270.53,141.06
CMP00107,F008,Lunch Combo Campaign,Loyalty,2026-03-18,2026-04-03,53760,137028,576,80,240663.84,347.66
CMP00108,F038,Student Meal Offer,Festival,2025-10-15,2025-10-27,36359,84777,11093,1180,64630.45,77.76
CMP00109,F033,Weekend Pizza Deal,Social Media,2026-04-18,2026-05-01,27780,84012,8968,814,61475.25,121.29
CMP00110,F020,Student Meal Offer,Loyalty,2025-09-13,2025-09-21,56931,67946,1434,766,159056.5,179.38
CMP00111,F045,Family Feast Weekend,Local Promotion,2026-03-16,2026-04-01,24845,91808,13628,595,73457.68,195.66
CMP00112,F049,Family Feast Weekend,Loyalty,2026-02-13,2026-02-20,31628,78103,12147,692,30512.14,-3.53
CMP00113,F019,New Menu Launch,Festival,2025-11-29,2025-12-20,43848,85518,7104,441,199243.16,354.4
CMP00114,F049,Lunch Combo Campaign,Loyalty,2026-01-13,2026-02-02,32770,95885,5117,635,31238.21,-4.67
CMP00115,F032,Lunch Combo Campaign,Social Media,2026-06-06,2026-06-15,51002,73011,6631,1167,166528.32,226.51
CMP00116,F049,Family Meal Combo,Social Media,2025-12-03,2025-12-12,63037,115468,12734,392,190870.29,202.79
CMP00117,F016,New Menu Launch,Social Media,2026-01-27,2026-02-08,50832,21083,949,153,84177.59,65.6
CMP00118,F009,Weekend Pizza Deal,Local Promotion,2026-08-09,2026-08-25,39920,94360,1755,886,148365.34,271.66
CMP00119,F047,Weekend Pizza Deal,Loyalty,2026-05-23,2026-05-28,30885,112991,9228,307,77324.33,150.36
CMP00120,F034,Weekend Pizza Deal,Loyalty,2026-07-28,2026-08-04,58710,55310,6167,571,143222.06,143.95
CMP00121,F042,Monsoon Food Festival,Loyalty,2025-12-17,2025-12-20,27800,97047,17813,392,76291.5,174.43
CMP00122,F001,Family Feast Weekend,Local Promotion,2025-09-14,2025-10-02,26632,43033,8267,1798,72593.32,172.58
CMP00123,F011,Family Feast Weekend,Local Promotion,2026-08-19,2026-08-24,34677,24010,2939,1220,77788.55,124.32
CMP00124,F003,Weekend Biryani Offer,Loyalty,2025-11-20,2025-12-03,18488,15907,1797,1209,86878.01,369.92
CMP00125,F013,Weekend Pizza Deal,Search,2026-04-17,2026-04-25,63296,44848,2702,1907,124627.5,96.9
CMP00126,F034,Lunch Combo Campaign,Festival,2026-04-17,2026-04-27,60616,83932,11508,319,88571.38,46.12
CMP00127,F011,New Menu Launch,Social Media,2025-09-24,2025-10-03,11260,96325,2830,1542,41663.66,270.01
CMP00128,F008,Chef Special Promotion,Loyalty,2025-09-29,2025-10-02,61203,70156,13017,1871,94338.23,54.14
CMP00129,F047,Monsoon Food Festival,Festival,2026-06-17,2026-07-04,64552,40553,7069,1236,233515.08,261.75
CMP00130,F005,Family Feast Weekend,Festival,2026-04-01,2026-04-11,34968,147698,11348,373,142013.74,306.12
CMP00131,F034,Festive Dinner Promotion,Local Promotion,2026-04-05,2026-04-24,68603,139986,12599,1399,327234.98,377.0
CMP00132,F020,Delivery Special,Search,2026-04-25,2026-05-06,28071,129654,21425,1177,98013.65,249.16
CMP00133,F045,Chef Special Promotion,Festival,2026-08-24,2026-08-29,40074,74348,8422,625,57000.08,42.24
CMP00134,F048,Family Meal Combo,Loyalty,2026-07-31,2026-08-12,52262,90811,3492,1826,87983.16,68.35
CMP00135,F030,Student Meal Offer,Search,2026-01-20,2026-02-07,31755,108923,20422,1664,126819.24,299.37
CMP00136,F011,Festive Dinner Promotion,Loyalty,2025-09-19,2025-09-24,70755,96874,16595,1800,123350.1,74.33
CMP00137,F021,New Menu Launch,Social Media,2025-11-09,2025-11-28,14478,136390,3702,921,49080.98,239.0
CMP00138,F031,Monsoon Food Festival,Local Promotion,2025-10-19,2025-11-04,31923,146582,14339,1514,97590.06,205.7
CMP00139,F004,Student Meal Offer,Festival,2025-12-22,2025-12-30,71746,5266,639,624,217226.44,202.77
CMP00140,F026,Loyalty Customer Offer,Social Media,2025-12-27,2026-01-14,32586,35603,6113,1079,152908.21,369.25
CMP00141,F034,Student Meal Offer,Social Media,2026-02-22,2026-03-07,50153,60841,9842,253,45897.09,-8.49
CMP00142,F015,Weekend Biryani Offer,Loyalty,2025-12-26,2026-01-04,17744,39463,6144,754,42722.44,140.77
CMP00143,F013,Weekend Biryani Offer,Loyalty,2025-10-03,2025-10-22,60447,8661,1285,730,112815.77,86.64
CMP00144,F039,Lunch Combo Campaign,Festival,2026-04-18,2026-05-06,38989,139849,26612,778,93262.23,139.2
CMP00145,F019,Chef Special Promotion,Local Promotion,2026-02-13,2026-02-28,67249,146519,3907,629,231440.97,244.16
CMP00146,F049,Student Meal Offer,Social Media,2025-11-17,2025-11-28,17354,144932,17556,1174,33796.6,94.75
CMP00147,F015,Weekend Biryani Offer,Search,2026-03-24,2026-04-02,57258,38968,4716,1499,247530.73,332.31
CMP00148,F049,New Menu Launch,Loyalty,2026-05-22,2026-05-31,67653,127686,14573,620,194251.41,187.13
CMP00149,F007,Family Feast Weekend,Local Promotion,2026-07-24,2026-08-05,37923,45710,5010,605,63895.48,68.49
CMP00150,F036,Family Feast Weekend,Search,2025-12-25,2026-01-14,57416,54663,1789,581,106779.97,85.98
CMP00151,F018,New Menu Launch,Search,2026-07-06,2026-07-15,52741,50905,6691,522,180690.18,242.6
CMP00152,F046,Family Feast Weekend,Local Promotion,2025-12-10,2025-12-13,19434,117246,11977,117,56709.33,191.8
CMP00153,F043,Family Feast Weekend,Loyalty,2026-03-19,2026-03-24,68661,34404,2257,1987,124189.49,80.87
CMP00154,F022,Lunch Combo Campaign,Social Media,2026-03-13,2026-03-19,72063,53234,3821,163,230287.5,219.56
CMP00155,F046,Monsoon Food Festival,Social Media,2025-11-13,2025-11-30,44361,10768,875,656,83483.24,88.19
CMP00156,F012,Chef Special Promotion,Social Media,2025-11-27,2025-12-12,15149,20829,2243,569,70988.68,368.6
CMP00157,F026,Family Feast Weekend,Social Media,2026-05-09,2026-05-20,34310,71424,11117,1829,81978.53,138.93
CMP00158,F040,Festive Dinner Promotion,Local Promotion,2025-09-04,2025-09-14,73537,147990,8319,817,253861.08,245.22
CMP00159,F019,Family Meal Combo,Loyalty,2025-12-13,2026-01-03,31686,75043,1919,441,150088.17,373.67
CMP00160,F008,Family Feast Weekend,Loyalty,2025-10-01,2025-10-22,49542,38689,705,334,87783.79,77.19
CMP00161,F023,Loyalty Customer Offer,Local Promotion,2026-02-14,2026-02-18,20101,22032,3287,1475,25504.84,26.88
CMP00162,F012,Lunch Combo Campaign,Social Media,2026-01-06,2026-01-10,73703,79447,5450,1429,98602.21,33.78
CMP00163,F050,Chef Special Promotion,Festival,2026-01-05,2026-01-16,30562,79377,8515,1609,104045.42,240.44
CMP00164,F041,Weekend Pizza Deal,Loyalty,2025-12-09,2025-12-29,35412,18322,2743,1923,167470.39,372.92
CMP00165,F001,Weekend Pizza Deal,Festival,2025-10-05,2025-10-15,59619,73025,3013,1797,114315.81,91.74
CMP00166,F011,New Menu Launch,Social Media,2026-02-08,2026-02-24,31265,147471,27138,1635,139449.66,346.02
CMP00167,F005,Lunch Combo Campaign,Loyalty,2026-02-22,2026-02-25,56687,82844,13458,1305,114448.86,101.9
CMP00168,F004,Family Feast Weekend,Social Media,2025-09-29,2025-10-12,33507,11331,1367,1182,115744.6,245.43
CMP00169,F005,Loyalty Customer Offer,Search,2025-10-23,2025-10-30,10487,133173,15672,348,13461.47,28.36
CMP00170,F029,Family Feast Weekend,Festival,2026-05-14,2026-05-18,22228,141255,13978,761,30597.97,37.66
CMP00171,F032,Delivery Special,Loyalty,2026-06-10,2026-06-29,14849,18665,1288,101,12096.92,-18.53
CMP00172,F009,Chef Special Promotion,Festival,2025-12-08,2025-12-14,74150,56755,9213,551,308111.38,315.52
CMP00173,F015,Festive Dinner Promotion,Loyalty,2025-09-28,2025-10-16,22182,87278,12384,1969,29995.7,35.23
CMP00174,F035,Festive Dinner Promotion,Local Promotion,2025-10-23,2025-11-04,52496,142580,17486,1359,110676.01,110.83
CMP00175,F045,New Menu Launch,Loyalty,2026-03-17,2026-03-23,51768,105444,15522,195,189626.07,266.3
CMP00176,F006,Delivery Special,Search,2025-10-18,2025-10-30,62321,115650,7939,430,294314.98,372.26
CMP00177,F030,Festive Dinner Promotion,Local Promotion,2025-11-10,2025-11-23,49525,127650,6554,376,148042.43,198.92
CMP00178,F021,Weekend Pizza Deal,Social Media,2026-07-10,2026-07-27,44938,44444,6455,1394,112730.06,150.86
CMP00179,F044,Weekend Pizza Deal,Festival,2025-11-02,2025-11-11,15526,105522,6882,1463,55555.82,257.82
CMP00180,F021,Student Meal Offer,Loyalty,2026-02-02,2026-02-06,11966,136589,13961,172,32199.44,169.09
CMP00181,F027,Delivery Special,Festival,2026-02-03,2026-02-07,43757,79419,11540,461,76964.91,75.89
CMP00182,F008,Festive Dinner Promotion,Social Media,2026-03-30,2026-04-10,71611,35160,2397,106,106104.56,48.17
CMP00183,F037,Loyalty Customer Offer,Loyalty,2026-01-11,2026-01-25,36077,59124,5724,1728,53238.17,47.57
CMP00184,F009,Delivery Special,Festival,2026-08-20,2026-08-25,32829,121664,10128,806,71992.22,119.29
CMP00185,F024,Festive Dinner Promotion,Loyalty,2025-09-06,2025-09-14,49517,45014,6668,1620,195899.89,295.62
CMP00186,F012,Weekend Biryani Offer,Search,2026-02-05,2026-02-10,50442,142385,7021,1406,206065.4,308.52
CMP00187,F025,Student Meal Offer,Local Promotion,2026-02-11,2026-02-25,38604,122341,6997,557,178063.24,361.26
CMP00188,F020,Monsoon Food Festival,Loyalty,2026-03-10,2026-03-28,34637,63967,3897,1033,117888.5,240.35
CMP00189,F007,Student Meal Offer,Loyalty,2026-03-22,2026-04-01,60875,115085,14036,1682,187254.63,207.61
CMP00190,F034,Lunch Combo Campaign,Local Promotion,2025-10-21,2025-11-06,12980,28673,781,565,55225.2,325.46
CMP00191,F004,Weekend Biryani Offer,Local Promotion,2026-07-18,2026-07-24,46318,55136,7948,1005,32780.42,-29.23
CMP00192,F028,Loyalty Customer Offer,Social Media,2025-10-19,2025-11-05,38682,44956,3648,842,153285.28,296.27
CMP00193,F002,Delivery Special,Festival,2025-10-25,2025-11-14,36098,46659,5525,1571,145892.74,304.16
CMP00194,F016,New Menu Launch,Local Promotion,2025-11-21,2025-12-06,56468,23352,1822,1710,63900.49,13.16
CMP00195,F007,Weekend Biryani Offer,Social Media,2026-05-14,2026-05-25,29053,99482,13134,547,47154.39,62.3
CMP00196,F002,Delivery Special,Local Promotion,2025-12-16,2025-12-26,49202,107512,10573,1114,194741.89,295.8
CMP00197,F002,Monsoon Food Festival,Loyalty,2025-10-24,2025-10-28,27284,137868,21778,1220,50549.23,85.27
CMP00198,F026,Student Meal Offer,Local Promotion,2025-12-24,2026-01-06,42080,66980,9349,314,164467.61,290.85
CMP00199,F004,Family Feast Weekend,Local Promotion,2026-08-10,2026-08-30,22478,106050,15463,114,31987.64,42.31
CMP00200,F020,Monsoon Food Festival,Loyalty,2025-11-10,2025-11-26,23557,20788,640,390,42144.43,78.9
CMP00201,F046,Lunch Combo Campaign,Search,2025-12-06,2025-12-18,14189,15812,1940,942,11619.32,-18.11
CMP00202,F028,Weekend Biryani Offer,Loyalty,2025-10-05,2025-10-20,73119,14731,2599,1952,114206.13,56.19
CMP00203,F003,Monsoon Food Festival,Loyalty,2026-04-06,2026-04-24,30286,35364,1056,133,36886.17,21.79
CMP00204,F026,Festive Dinner Promotion,Search,2026-02-16,2026-03-08,55910,9216,383,247,118002.0,111.06
CMP00205,F007,Chef Special Promotion,Social Media,2025-11-17,2025-11-30,41665,11636,907,30,151583.78,263.82
CMP00206,F015,Family Meal Combo,Loyalty,2025-12-02,2025-12-10,17681,113118,22439,1631,35913.83,103.12
CMP00207,F004,Family Feast Weekend,Local Promotion,2025-12-07,2025-12-10,19568,142983,27737,27,14689.84,-24.93
CMP00208,F015,Family Meal Combo,Loyalty,2026-01-18,2026-02-03,52208,129256,3926,162,89737.99,71.89
CMP00209,F035,Family Feast Weekend,Loyalty,2026-01-07,2026-01-23,50043,7012,231,198,233727.11,367.05
CMP00210,F020,Loyalty Customer Offer,Loyalty,2025-10-29,2025-11-01,38513,62845,2780,548,45728.29,18.73
CMP00211,F039,Student Meal Offer,Search,2026-07-19,2026-08-05,54592,94693,17591,650,58188.83,6.59
CMP00212,F006,Loyalty Customer Offer,Search,2026-06-17,2026-07-07,58932,140812,6194,880,260842.67,342.62
CMP00213,F037,Weekend Pizza Deal,Loyalty,2026-08-15,2026-08-30,21446,95322,1028,868,42458.27,97.98
CMP00214,F007,Chef Special Promotion,Social Media,2025-09-17,2025-10-05,26582,51049,9694,1970,37836.61,42.34
CMP00215,F042,Weekend Pizza Deal,Loyalty,2026-05-09,2026-05-29,50876,134823,18806,482,241022.41,373.74
CMP00216,F013,Family Meal Combo,Search,2026-07-19,2026-08-01,38767,145034,12020,509,94843.56,144.65
CMP00217,F045,Loyalty Customer Offer,Loyalty,2025-12-14,2025-12-18,46303,108942,19509,1238,180060.56,288.87
CMP00218,F005,Chef Special Promotion,Local Promotion,2026-01-12,2026-01-30,44218,92258,7284,1786,163079.22,268.81
CMP00219,F022,Weekend Pizza Deal,Loyalty,2026-06-18,2026-07-08,17496,140788,10566,1421,56264.93,221.59
CMP00220,F027,Family Feast Weekend,Social Media,2025-12-16,2025-12-21,29180,91401,11355,1167,58164.09,99.33
CMP00221,F009,Family Feast Weekend,Festival,2026-04-26,2026-04-29,51527,109188,4690,1717,189994.75,268.73
CMP00222,F031,Family Meal Combo,Search,2025-11-13,2025-11-26,67428,138962,5548,911,249799.47,270.47
CMP00223,F043,Weekend Pizza Deal,Search,2026-02-01,2026-02-12,72737,56792,10245,1967,143429.48,97.19
CMP00224,F019,Student Meal Offer,Loyalty,2025-10-18,2025-11-07,53554,117483,1641,424,220762.74,312.22
CMP00225,F035,Monsoon Food Festival,Loyalty,2026-07-20,2026-08-10,50598,31528,4556,1084,80374.81,58.85
CMP00226,F013,Weekend Biryani Offer,Local Promotion,2026-07-02,2026-07-16,41858,57081,6304,105,95714.6,128.67
CMP00227,F028,Student Meal Offer,Loyalty,2026-07-05,2026-07-26,50100,139436,8869,399,157258.22,213.89
CMP00228,F048,Family Feast Weekend,Search,2025-10-26,2025-11-09,59043,76810,12232,395,248755.0,321.31
CMP00229,F039,Delivery Special,Festival,2026-06-25,2026-07-04,44582,95856,6325,1955,196945.7,341.76
CMP00230,F027,Lunch Combo Campaign,Social Media,2025-10-15,2025-10-18,29246,64837,8720,1850,113511.71,288.13
CMP00231,F017,Delivery Special,Festival,2025-12-13,2026-01-03,33456,107023,797,780,131945.75,294.39
CMP00232,F028,Weekend Biryani Offer,Festival,2026-01-29,2026-02-08,17334,97121,12540,1068,40201.62,131.92
CMP00233,F019,Lunch Combo Campaign,Social Media,2026-01-04,2026-01-11,37725,28709,4998,543,161332.52,327.65
CMP00234,F004,Monsoon Food Festival,Loyalty,2025-10-04,2025-10-24,57314,91875,17917,1946,207803.41,262.57
CMP00235,F044,Student Meal Offer,Local Promotion,2025-11-19,2025-12-08,43096,31230,5027,725,69911.2,62.22
