attendance_id,staff_id,date,status,hours_worked
A000110,S00011,2026-08-10,Present,7.5
A000111,S00012,2026-08-01,Present,8.8
A000112,S00012,2026-08-02,Present,9.0
A000113,S00012,2026-08-03,Present,8.6
A000114,S00012,2026-08-04,Present,9.9
A000115,S00012,2026-08-05,Present,8.0
A000116,S00012,2026-08-06,Half Day,4.5
A000117,S00012,2026-08-07,Present,7.9
A000118,S00012,2026-08-08,Present,9.0
A000119,S00012,2026-08-09,Present,8.7
A000120,S00012,2026-08-10,Present,9.2
A000121,S00013,2026-08-01,Present,7.6
A000122,S00013,2026-08-02,Half Day,3.7
A000123,S00013,2026-08-03,Half Day,3.9
A000124,S00013,2026-08-04,Half Day,3.5
A000125,S00013,2026-08-05,Present,9.1
A000126,S00013,2026-08-06,Present,8.2
A000127,S00013,2026-08-07,Present,7.8
A000128,S00013,2026-08-08,Present,7.8
A000129,S00013,2026-08-09,Present,9.2
A000130,S00013,2026-08-10,Present,9.6
A000131,S00014,2026-08-01,Present,9.8
A000132,S00014,2026-08-02,Present,9.8
A000133,S00014,2026-08-03,Present,7.2
A000134,S00014,2026-08-04,Present,9.7
A000135,S00014,2026-08-05,Present,7.0
A000136,S00014,2026-08-06,Present,9.5
A000137,S00014,2026-08-07,Present,7.0
A000138,S00014,2026-08-08,Present,7.6
A000139,S00014,2026-08-09,Present,7.4
A000140,S00014,2026-08-10,Present,9.6
A000141,S00015,2026-08-01,Present,9.3
A000142,S00015,2026-08-02,Present,9.5
A000143,S00015,2026-08-03,Present,8.2
A000144,S00015,2026-08-04,Half Day,3.1
A000145,S00015,2026-08-05,Present,9.1
A000146,S00015,2026-08-06,Present,9.7
A000147,S00015,2026-08-07,Half Day,3.1
A000148,S00015,2026-08-08,Present,8.5
A000149,S00015,2026-08-09,Present,8.5
A000150,S00015,2026-08-10,Half Day,4.0
A000151,S00016,2026-08-01,Absent,0.0
A000152,S00016,2026-08-02,Half Day,4.4
A000153,S00016,2026-08-03,Present,8.5
A000154,S00016,2026-08-04,Present,7.3
A000155,S00016,2026-08-05,Present,7.3
A000156,S00016,2026-08-06,Present,7.7
A000157,S00016,2026-08-07,Present,9.3
A000158,S00016,2026-08-08,Present,7.5
A000159,S00016,2026-08-09,Present,7.4
A000160,S00016,2026-08-10,Present,9.6
A000161,S00017,2026-08-01,Present,9.1
A000162,S00017,2026-08-02,Present,9.6
A000163,S00017,2026-08-03,Present,8.1
A000164,S00017,2026-08-04,Present,7.4
A000165,S00017,2026-08-05,Half Day,4.1
A000166,S00017,2026-08-06,Present,9.3
A000167,S00017,2026-08-07,Present,7.3
A000168,S00017,2026-08-08,Absent,0.0
A000169,S00017,2026-08-09,Present,7.4
A000170,S00017,2026-08-10,Present,7.9
A000171,S00018,2026-08-01,Present,8.5
A000172,S00018,2026-08-02,Present,8.6
A000173,S00018,2026-08-03,Absent,0.0
A000174,S00018,2026-08-04,Present,8.3
A000175,S00018,2026-08-05,Half Day,3.1
A000176,S00018,2026-08-06,Absent,0.0
A000177,S00018,2026-08-07,Present,8.0
A000178,S00018,2026-08-08,Present,9.7
A000179,S00018,2026-08-09,Present,7.4
A000180,S00018,2026-08-10,Present,9.0
A000181,S00019,2026-08-01,Present,8.0
A000182,S00019,2026-08-02,Present,8.5
A000183,S00019,2026-08-03,Present,9.8
A000184,S00019,2026-08-04,Present,9.4
A000185,S00019,2026-08-05,Present,8.8
A000186,S00019,2026-08-06,Present,9.5
A000187,S00019,2026-08-07,Present,7.5
A000188,S00019,2026-08-08,Present,8.6
A000189,S00019,2026-08-09,Present,8.7
A000190,S00019,2026-08-10,Present,8.3
A000191,S00020,2026-08-01,Present,9.4
A000192,S00020,2026-08-02,Present,9.0
A000193,S00020,2026-08-03,Present,7.7
A000194,S00020,2026-08-04,Present,8.0
A000195,S00020,2026-08-05,Present,9.6
A000196,S00020,2026-08-06,Present,8.6
A000197,S00020,2026-08-07,Present,8.0
A000198,S00020,2026-08-08,Present,8.9
A000199,S00020,2026-08-09,Present,9.2
A000200,S00020,2026-08-10,Present,7.6
A000201,S00021,2026-08-01,Present,7.5
A000202,S00021,2026-08-02,Absent,0.0
A000203,S00021,2026-08-03,Present,9.7
A000204,S00021,2026-08-04,Present,10.0
A000205,S00021,2026-08-05,Present,8.3
A000206,S00021,2026-08-06,Present,8.5
A000207,S00021,2026-08-07,Present,7.8
A000208,S00021,2026-08-08,Present,7.8
A000209,S00021,2026-08-09,Present,9.1
A000210,S00021,2026-08-10,Present,7.5
A000211,S00022,2026-08-01,Present,8.1
A000212,S00022,2026-08-02,Present,8.5
A000213,S00022,2026-08-03,Present,8.3
A000214,S00022,2026-08-04,Present,7.1
A000215,S00022,2026-08-05,Present,8.6
A000216,S00022,2026-08-06,Absent,0.0
A000217,S00022,2026-08-07,Present,10.0
A000218,S00022,2026-08-08,Present,7.5
A000219,S00022,2026-08-09,Present,9.7
A000220,S00022,2026-08-10,Present,7.7
A000221,S00023,2026-08-01,Present,8.3
A000222,S00023,2026-08-02,Present,9.5
A000223,S00023,2026-08-03,Present,9.5
A000224,S00023,2026-08-04,Half Day,3.7
A000225,S00023,2026-08-05,Present,7.9
A000226,S00023,2026-08-06,Present,7.3
A000227,S00023,2026-08-07,Half Day,3.8
A000228,S00023,2026-08-08,Present,8.3
A000229,S00023,2026-08-09,Present,8.4
A000230,S00023,2026-08-10,Absent,0.0
A000231,S00024,2026-08-01,Present,8.1
A000232,S00024,2026-08-02,Present,9.2
A000233,S00024,2026-08-03,Present,8.0
A000234,S00024,2026-08-04,Present,9.7
A000235,S00024,2026-08-05,Absent,0.0
A000236,S00024,2026-08-06,Present,7.5
A000237,S00024,2026-08-07,Present,9.7
A000238,S00024,2026-08-08,Present,9.4
A000239,S00024,2026-08-09,Present,9.2
A000240,S00024,2026-08-10,Present,9.3
A000241,S00025,2026-08-01,Present,7.3
A000242,S00025,2026-08-02,Present,7.6
A000243,S00025,2026-08-03,Absent,0.0
A000244,S00025,2026-08-04,Present,7.1
A000245,S00025,2026-08-05,Present,9.0
A000246,S00025,2026-08-06,Half Day,4.0
A000247,S00025,2026-08-07,Present,8.0
A000248,S00025,2026-08-08,Present,7.6
A000249,S00025,2026-08-09,Present,9.5
A000250,S00025,2026-08-10,Present,8.7
A000251,S00026,2026-08-01,Present,7.1
A000252,S00026,2026-08-02,Present,9.9
A000253,S00026,2026-08-03,Present,9.7
A000254,S00026,2026-08-04,Present,8.0
A000255,S00026,2026-08-05,Present,8.5
A000256,S00026,2026-08-06,Present,8.5
A000257,S00026,2026-08-07,Half Day,4.5
A000258,S00026,2026-08-08,Present,9.5
A000259,S00026,2026-08-09,Half Day,3.8
A000260,S00026,2026-08-10,Absent,0.0
A000261,S00027,2026-08-01,Absent,0.0
A000262,S00027,2026-08-02,Present,9.9
A000263,S00027,2026-08-03,Present,9.4
A000264,S00027,2026-08-04,Present,7.2
A000265,S00027,2026-08-05,Present,8.6
A000266,S00027,2026-08-06,Present,8.5
A000267,S00027,2026-08-07,Half Day,3.1
A000268,S00027,2026-08-08,Present,10.0
A000269,S00027,2026-08-09,Present,7.0
A000270,S00027,2026-08-10,Present,7.2
A000271,S00028,2026-08-01,Absent,0.0
A000272,S00028,2026-08-02,Present,9.3
A000273,S00028,2026-08-03,Present,9.0
A000274,S00028,2026-08-04,Half Day,5.0
A000275,S00028,2026-08-05,Present,9.3
A000276,S00028,2026-08-06,Present,9.0
A000277,S00028,2026-08-07,Present,7.9
A000278,S00028,2026-08-08,Present,8.7
A000279,S00028,2026-08-09,Present,9.1
A000280,S00028,2026-08-10,Absent,0.0
A000281,S00029,2026-08-01,Present,7.6
A000282,S00029,2026-08-02,Present,7.4
A000283,S00029,2026-08-03,Present,8.4
A000284,S00029,2026-08-04,Present,8.3
A000285,S00029,2026-08-05,Present,9.6
A000286,S00029,2026-08-06,Present,9.1
A000287,S00029,2026-08-07,Present,9.6
A000288,S00029,2026-08-08,Present,9.7
A000289,S00029,2026-08-09,Present,7.9
A000290,S00029,2026-08-10,Present,8.4
A000291,S00030,2026-08-01,Present,8.9
A000292,S00030,2026-08-02,Present,7.4
A000293,S00030,2026-08-03,Absent,0.0
A000294,S00030,2026-08-04,Present,9.1
A000295,S00030,2026-08-05,Present,9.4
A000296,S00030,2026-08-06,Present,9.8
A000297,S00030,2026-08-07,Present,9.8
A000298,S00030,2026-08-08,Present,8.7
A000299,S00030,2026-08-09,Present,9.9
A000300,S00030,2026-08-10,Present,7.3
A000301,S00031,2026-08-01,Present,8.9
A000302,S00031,2026-08-02,Present,8.6
A000303,S00031,2026-08-03,Present,8.5
A000304,S00031,2026-08-04,Present,7.3
A000305,S00031,2026-08-05,Present,9.9
A000306,S00031,2026-08-06,Present,7.6
A000307,S00031,2026-08-07,Present,8.5
A000308,S00031,2026-08-08,Present,8.0
A000309,S00031,2026-08-09,Present,8.1
A000310,S00031,2026-08-10,Half Day,4.4
A000311,S00032,2026-08-01,Present,7.3
A000312,S00032,2026-08-02,Present,9.2
A000313,S00032,2026-08-03,Present,7.2
A000314,S00032,2026-08-04,Present,9.7
A000315,S00032,2026-08-05,Present,7.4
A000316,S00032,2026-08-06,Present,9.5
A000317,S00032,2026-08-07,Present,8.3
A000318,S00032,2026-08-08,Present,9.9
A000319,S00032,2026-08-09,Present,8.9
A000320,S00032,2026-08-10,Present,9.9
A000321,S00033,2026-08-01,Present,9.0
A000322,S00033,2026-08-02,Half Day,4.4
A000323,S00033,2026-08-03,Present,8.5
A000324,S00033,2026-08-04,Present,8.8
A000325,S00033,2026-08-05,Present,9.2
A000326,S00033,2026-08-06,Present,8.7
A000327,S00033,2026-08-07,Present,7.1
A000328,S00033,2026-08-08,Present,8.6
A000329,S00033,2026-08-09,Half Day,3.1
A000330,S00033,2026-08-10,Present,7.9
A000331,S00034,2026-08-01,Present,7.1
A000332,S00034,2026-08-02,Present,7.0
A000333,S00034,2026-08-03,Present,9.2
A000334,S00034,2026-08-04,Present,7.2
A000335,S00034,2026-08-05,Present,7.9
A000336,S00034,2026-08-06,Present,7.0
A000337,S00034,2026-08-07,Present,7.4
A000338,S00034,2026-08-08,Present,9.1
A000339,S00034,2026-08-09,Present,9.6
A000340,S00034,2026-08-10,Half Day,4.3
A000341,S00035,2026-08-01,Present,10.0
A000342,S00035,2026-08-02,Present,9.9
A000343,S00035,2026-08-03,Present,7.1
A000344,S00035,2026-08-04,Present,7.7
A000345,S00035,2026-08-05,Present,9.4
A000346,S00035,2026-08-06,Present,7.9
A000347,S00035,2026-08-07,Present,8.4
A000348,S00035,2026-08-08,Present,8.2
A000349,S00035,2026-08-09,Present,8.8
A000350,S00035,2026-08-10,Present,7.1
A000351,S00036,2026-08-01,Present,9.1
A000352,S00036,2026-08-02,Absent,0.0
A000353,S00036,2026-08-03,Present,7.3
A000354,S00036,2026-08-04,Present,9.4
A000355,S00036,2026-08-05,Present,7.9
A000356,S00036,2026-08-06,Present,8.3
A000357,S00036,2026-08-07,Present,8.9
A000358,S00036,2026-08-08,Absent,0.0
A000359,S00036,2026-08-09,Present,9.3
A000360,S00036,2026-08-10,Present,8.9
A000361,S00037,2026-08-01,Absent,0.0
A000362,S00037,2026-08-02,Present,7.4
A000363,S00037,2026-08-03,Present,9.1
A000364,S00037,2026-08-04,Present,8.2
A000365,S00037,2026-08-05,Present,7.5
A000366,S00037,2026-08-06,Present,7.9
A000367,S00037,2026-08-07,Present,8.7
A000368,S00037,2026-08-08,Present,10.0
A000369,S00037,2026-08-09,Present,7.8
A000370,S00037,2026-08-10,Present,7.4
A000371,S00038,2026-08-01,Half Day,3.9
A000372,S00038,2026-08-02,Present,7.0
A000373,S00038,2026-08-03,Present,9.9
A000374,S00038,2026-08-04,Present,7.3
A000375,S00038,2026-08-05,Present,7.7
A000376,S00038,2026-08-06,Present,7.0
A000377,S00038,2026-08-07,Present,8.2
A000378,S00038,2026-08-08,Half Day,3.6
A000379,S00038,2026-08-09,Present,7.3
A000380,S00038,2026-08-10,Present,8.5
A000381,S00039,2026-08-01,Present,8.5
A000382,S00039,2026-08-02,Present,7.0
A000383,S00039,2026-08-03,Present,9.2
A000384,S00039,2026-08-04,Present,8.8
A000385,S00039,2026-08-05,Present,9.4
A000386,S00039,2026-08-06,Absent,0.0
A000387,S00039,2026-08-07,Absent,0.0
A000388,S00039,2026-08-08,Present,8.1
A000389,S00039,2026-08-09,Present,7.7
A000390,S00039,2026-08-10,Present,9.2
A000391,S00040,2026-08-01,Present,8.5
A000392,S00040,2026-08-02,Present,7.9
A000393,S00040,2026-08-03,Present,7.8
A000394,S00040,2026-08-04,Present,9.7
A000395,S00040,2026-08-05,Absent,0.0
A000396,S00040,2026-08-06,Half Day,4.4
A000397,S00040,2026-08-07,Present,9.0
A000398,S00040,2026-08-08,Present,7.9
A000399,S00040,2026-08-09,Present,9.2
A000400,S00040,2026-08-10,Present,10.0
A000401,S00041,2026-08-01,Present,9.2
A000402,S00041,2026-08-02,Present,8.5
A000403,S00041,2026-08-03,Present,7.3
A000404,S00041,2026-08-04,Present,7.3
A000405,S00041,2026-08-05,Absent,0.0
A000406,S00041,2026-08-06,Absent,0.0
A000407,S00041,2026-08-07,Present,9.7
A000408,S00041,2026-08-08,Present,9.1
A000409,S00041,2026-08-09,Half Day,4.6
A000410,S00041,2026-08-10,Present,9.5
A000411,S00042,2026-08-01,Absent,0.0
A000412,S00042,2026-08-02,Present,9.4
A000413,S00042,2026-08-03,Present,7.1
A000414,S00042,2026-08-04,Present,8.4
A000415,S00042,2026-08-05,Present,10.0
A000416,S00042,2026-08-06,Present,9.1
A000417,S00042,2026-08-07,Present,8.7
A000418,S00042,2026-08-08,Present,7.1
A000419,S00042,2026-08-09,Present,9.8
A000420,S00042,2026-08-10,Present,8.0
A000421,S00043,2026-08-01,Present,7.1
A000422,S00043,2026-08-02,Present,8.5
A000423,S00043,2026-08-03,Present,8.9
A000424,S00043,2026-08-04,Half Day,4.6
A000425,S00043,2026-08-05,Present,8.2
A000426,S00043,2026-08-06,Present,7.7
A000427,S00043,2026-08-07,Present,8.3
A000428,S00043,2026-08-08,Present,8.7
A000429,S00043,2026-08-09,Absent,0.0
A000430,S00043,2026-08-10,Present,8.4
A000431,S00044,2026-08-01,Present,7.4
A000432,S00044,2026-08-02,Present,9.9
A000433,S00044,2026-08-03,Present,9.1
A000434,S00044,2026-08-04,Present,9.4
A000435,S00044,2026-08-05,Present,8.7
A000436,S00044,2026-08-06,Present,7.9
A000437,S00044,2026-08-07,Present,7.7
A000438,S00044,2026-08-08,Present,7.2
A000439,S00044,2026-08-09,Absent,0.0
A000440,S00044,2026-08-10,Present,10.0
A000441,S00045,2026-08-01,Half Day,4.0
A000442,S00045,2026-08-02,Present,8.9
A000443,S00045,2026-08-03,Present,8.6
A000444,S00045,2026-08-04,Half Day,4.1
A000445,S00045,2026-08-05,Present,7.5
A000446,S00045,2026-08-06,Present,7.1
A000447,S00045,2026-08-07,Present,10.0
A000448,S00045,2026-08-08,Present,7.4
A000449,S00045,2026-08-09,Present,9.2
A000450,S00045,2026-08-10,Present,9.2
A000451,S00046,2026-08-01,Present,8.0
A000452,S00046,2026-08-02,Present,9.2
A000453,S00046,2026-08-03,Present,8.1
A000454,S00046,2026-08-04,Half Day,4.5
A000455,S00046,2026-08-05,Present,8.2
A000456,S00046,2026-08-06,Absent,0.0
A000457,S00046,2026-08-07,Present,7.4
A000458,S00046,2026-08-08,Half Day,4.3
A000459,S00046,2026-08-09,Present,8.6
A000460,S00046,2026-08-10,Present,7.4
A000461,S00047,2026-08-01,Present,7.9
A000462,S00047,2026-08-02,Present,8.0
A000463,S00047,2026-08-03,Present,9.7
A000464,S00047,2026-08-04,Present,7.2
A000465,S00047,2026-08-05,Present,9.1
A000466,S00047,2026-08-06,Present,7.9
A000467,S00047,2026-08-07,Present,10.0
A000468,S00047,2026-08-08,Present,8.8
A000469,S00047,2026-08-09,Present,9.4
A000470,S00047,2026-08-10,Present,9.2
A000471,S00048,2026-08-01,Present,7.0
A000472,S00048,2026-08-02,Present,7.3
A000473,S00048,2026-08-03,Absent,0.0
A000474,S00048,2026-08-04,Present,8.2
A000475,S00048,2026-08-05,Present,7.1
A000476,S00048,2026-08-06,Present,8.8
A000477,S00048,2026-08-07,Present,7.9
A000478,S00048,2026-08-08,Present,7.2
A000479,S00048,2026-08-09,Present,8.3
A000480,S00048,2026-08-10,Half Day,3.3
A000481,S00049,2026-08-01,Present,9.7
A000482,S00049,2026-08-02,Present,7.1
A000483,S00049,2026-08-03,Present,9.5
A000484,S00049,2026-08-04,Present,7.4
A000485,S00049,2026-08-05,Present,9.7
A000486,S00049,2026-08-06,Present,9.6
A000487,S00049,2026-08-07,Absent,0.0
A000488,S00049,2026-08-08,Present,8.5
A000489,S00049,2026-08-09,Present,8.8
A000490,S00049,2026-08-10,Present,8.4
A000491,S00050,2026-08-01,Present,7.5
A000492,S00050,2026-08-02,Present,8.7
A000493,S00050,2026-08-03,Present,9.4
A000494,S00050,2026-08-04,Present,8.9
A000495,S00050,2026-08-05,Present,7.5
A000496,S00050,2026-08-06,Present,9.5
A000497,S00050,2026-08-07,Present,9.8
A000498,S00050,2026-08-08,Present,9.1
A000499,S00050,2026-08-09,Present,9.3
A000500,S00050,2026-08-10,Present,9.5
A000501,S00051,2026-08-01,Half Day,4.3
A000502,S00051,2026-08-02,Present,8.4
A000503,S00051,2026-08-03,Present,9.2
A000504,S00051,2026-08-04,Present,9.5
A000505,S00051,2026-08-05,Present,8.7
A000506,S00051,2026-08-06,Present,9.9
A000507,S00051,2026-08-07,Present,7.7
A000508,S00051,2026-08-08,Present,7.2
A000509,S00051,2026-08-09,Present,7.7
A000510,S00051,2026-08-10,Present,9.7
A000511,S00052,2026-08-01,Present,9.5
A000512,S00052,2026-08-02,Present,7.8
A000513,S00052,2026-08-03,Present,9.1
A000514,S00052,2026-08-04,Present,8.8
A000515,S00052,2026-08-05,Present,7.6
A000516,S00052,2026-08-06,Present,7.6
A000517,S00052,2026-08-07,Present,8.6
A000518,S00052,2026-08-08,Present,8.5
A000519,S00052,2026-08-09,Present,9.0
A000520,S00052,2026-08-10,Present,9.5
A000521,S00053,2026-08-01,Present,8.1
A000522,S00053,2026-08-02,Present,7.3
A000523,S00053,2026-08-03,Present,9.2
A000524,S00053,2026-08-04,Present,7.5
A000525,S00053,2026-08-05,Present,9.5
A000526,S00053,2026-08-06,Present,8.5
A000527,S00053,2026-08-07,Present,7.2
A000528,S00053,2026-08-08,Present,9.5
A000529,S00053,2026-08-09,Present,8.2
A000530,S00053,2026-08-10,Present,7.4
A000531,S00054,2026-08-01,Present,9.1
A000532,S00054,2026-08-02,Present,8.2
A000533,S00054,2026-08-03,Present,7.1
A000534,S00054,2026-08-04,Present,8.4
A000535,S00054,2026-08-05,Present,8.7
A000536,S00054,2026-08-06,Present,9.7
A000537,S00054,2026-08-07,Present,9.4
A000538,S00054,2026-08-08,Present,9.4
A000539,S00054,2026-08-09,Present,9.8
A000540,S00054,2026-08-10,Absent,0.0
A000541,S00055,2026-08-01,Present,8.5
A000542,S00055,2026-08-02,Present,8.4
A000543,S00055,2026-08-03,Present,7.3
A000544,S00055,2026-08-04,Present,7.8
A000545,S00055,2026-08-05,Present,7.6
A000546,S00055,2026-08-06,Present,8.6
A000547,S00055,2026-08-07,Present,7.4
A000548,S00055,2026-08-08,Present,9.6
A000549,S00055,2026-08-09,Present,8.6
A000550,S00055,2026-08-10,Present,7.3
A000551,S00056,2026-08-01,Present,8.4
A000552,S00056,2026-08-02,Present,9.3
A000553,S00056,2026-08-03,Absent,0.0
A000554,S00056,2026-08-04,Present,8.0
A000555,S00056,2026-08-05,Present,9.9
A000556,S00056,2026-08-06,Present,8.1
A000557,S00056,2026-08-07,Present,9.1
A000558,S00056,2026-08-08,Present,7.8
A000559,S00056,2026-08-09,Present,9.0
A000560,S00056,2026-08-10,Present,8.1
A000561,S00057,2026-08-01,Present,7.3
A000562,S00057,2026-08-02,Present,7.6
A000563,S00057,2026-08-03,Present,8.5
A000564,S00057,2026-08-04,Present,9.2
A000565,S00057,2026-08-05,Present,9.0
A000566,S00057,2026-08-06,Present,9.4
A000567,S00057,2026-08-07,Present,10.0
A000568,S00057,2026-08-08,Present,8.1
A000569,S00057,2026-08-09,Present,9.5
A000570,S00057,2026-08-10,Present,8.9
A000571,S00058,2026-08-01,Present,8.8
A000572,S00058,2026-08-02,Present,9.1
A000573,S00058,2026-08-03,Present,7.1
A000574,S00058,2026-08-04,Present,8.4
A000575,S00058,2026-08-05,Present,9.5
A000576,S00058,2026-08-06,Present,7.2
A000577,S00058,2026-08-07,Half Day,3.1
A000578,S00058,2026-08-08,Present,9.1
A000579,S00058,2026-08-09,Half Day,3.7
A000580,S00058,2026-08-10,Present,9.4
A000581,S00059,2026-08-01,Present,8.7
A000582,S00059,2026-08-02,Present,8.4
A000583,S00059,2026-08-03,Present,7.3
A000584,S00059,2026-08-04,Half Day,4.2
A000585,S00059,2026-08-05,Present,7.1
A000586,S00059,2026-08-06,Present,9.5
A000587,S00059,2026-08-07,Absent,0.0
A000588,S00059,2026-08-08,Half Day,4.5
A000589,S00059,2026-08-09,Absent,0.0
A000590,S00059,2026-08-10,Present,9.1
A000591,S00060,2026-08-01,Present,9.9
A000592,S00060,2026-08-02,Present,8.1
A000593,S00060,2026-08-03,Present,8.3
A000594,S00060,2026-08-04,Present,7.5
A000595,S00060,2026-08-05,Present,9.6
A000596,S00060,2026-08-06,Present,8.3
A000597,S00060,2026-08-07,Present,7.3
A000598,S00060,2026-08-08,Present,9.0
A000599,S00060,2026-08-09,Present,9.4
A000600,S00060,2026-08-10,Present,9.5
A000601,S00061,2026-08-01,Present,7.5
A000602,S00061,2026-08-02,Present,9.4
A000603,S00061,2026-08-03,Present,8.7
A000604,S00061,2026-08-04,Present,9.1
A000605,S00061,2026-08-05,Present,9.8
A000606,S00061,2026-08-06,Present,9.2
A000607,S00061,2026-08-07,Present,8.4
A000608,S00061,2026-08-08,Present,7.2
A000609,S00061,2026-08-09,Present,7.8
A000610,S00061,2026-08-10,Present,8.0
A000611,S00062,2026-08-01,Present,9.2
A000612,S00062,2026-08-02,Present,9.4
A000613,S00062,2026-08-03,Present,7.5
A000614,S00062,2026-08-04,Present,9.9
A000615,S00062,2026-08-05,Present,7.3
A000616,S00062,2026-08-06,Present,9.1
A000617,S00062,2026-08-07,Present,8.9
A000618,S00062,2026-08-08,Present,7.3
A000619,S00062,2026-08-09,Present,8.7
A000620,S00062,2026-08-10,Present,9.3
A000621,S00063,2026-08-01,Half Day,4.9
A000622,S00063,2026-08-02,Absent,0.0
A000623,S00063,2026-08-03,Present,8.3
A000624,S00063,2026-08-04,Present,9.7
A000625,S00063,2026-08-05,Present,7.3
A000626,S00063,2026-08-06,Absent,0.0
A000627,S00063,2026-08-07,Present,8.6
A000628,S00063,2026-08-08,Present,9.6
