sale_id,outlet_id,item_id,sale_date,quantity,unit_price,total_amount,payment_method,order_channel
SALE000050,O0030,I0011,2026-05-12,1,437.83,437.83,UPI,Online
SALE000051,O0272,I0087,2026-08-01,1,187.99,187.99,UPI,Delivery
SALE000052,O0094,I0022,2026-07-19,1,313.5,313.5,Cash,Dine-in
SALE000053,O0214,I0073,2025-10-04,2,151.96,303.92,UPI,Delivery
SALE000054,O0235,I0077,2025-11-08,2,203.31,406.62,UPI,Online
SALE000055,O0093,I0019,2026-06-21,1,378.72,378.72,UPI,Dine-in
SALE000056,O0099,I0021,2025-12-02,1,291.34,291.34,UPI,Dine-in
SALE000057,O0429,I0037,2026-05-29,1,265.76,265.76,Card,Delivery
SALE000058,O0490,I0024,2025-11-02,2,219.51,439.02,Wallet,Dine-in
SALE000059,O0212,I0074,2026-08-17,3,182.55,547.65,Card,Takeaway
SALE000060,O0041,I0023,2026-03-03,1,244.81,244.81,UPI,Online
SALE000061,O0189,I0273,2026-06-24,1,350.64,350.64,UPI,Delivery
SALE000062,O0035,I0168,2026-05-15,1,471.92,471.92,UPI,Delivery
SALE000063,O0149,I0065,2026-08-13,1,525.23,525.23,UPI,Takeaway
SALE000064,O0214,I0076,2026-02-02,2,210.4,420.8,UPI,Takeaway
SALE000065,O0446,I0073,2025-09-10,2,163.34,326.68,UPI,Delivery
SALE000066,O0182,I0263,2025-10-18,1,359.8,359.8,Card,Delivery
SALE000067,O0051,I0021,2025-11-29,2,326.65,653.3,Cash,Takeaway
SALE000068,O0169,I0061,2026-07-20,1,515.78,515.78,UPI,Dine-in
SALE000069,O0062,I0029,2026-04-12,1,365.41,365.41,UPI,Takeaway
SALE000070,O0016,I0191,2026-01-01,1,506.77,506.77,UPI,Dine-in
SALE000071,O0299,I0098,2025-09-01,1,306.74,306.74,UPI,Delivery
SALE000072,O0458,I0049,2026-04-02,1,440.06,440.06,Cash,Takeaway
SALE000073,O0420,I0024,2025-11-28,1,228.67,228.67,UPI,Delivery
SALE000074,O0496,I0140,2026-02-26,1,94.22,94.22,Card,Dine-in
SALE000075,O0036,I0170,2026-03-31,1,323.99,323.99,Card,Online
SALE000076,O0439,I0053,2026-05-09,1,266.23,266.23,UPI,Online
SALE000077,O0160,I0061,2026-03-18,1,521.85,521.85,UPI,Online
SALE000078,O0040,I0190,2026-04-09,4,286.39,1145.56,Card,Delivery
SALE000079,O0418,I0024,2026-06-25,1,218.52,218.52,UPI,Online
SALE000080,O0177,I0061,2025-11-12,3,526.08,1578.24,UPI,Online
SALE000081,O0009,I0201,2025-09-01,1,136.42,136.42,UPI,Dine-in
SALE000082,O0063,I0029,2026-08-25,2,392.34,784.68,Card,Takeaway
SALE000083,O0075,I0017,2025-09-16,1,422.57,422.57,Wallet,Dine-in
SALE000084,O0454,I0051,2026-07-08,1,359.92,359.92,Cash,Takeaway
SALE000085,O0389,I0130,2026-05-01,4,79.9,319.6,UPI,Takeaway
SALE000086,O0437,I0055,2025-10-29,1,291.92,291.92,UPI,Dine-in
SALE000087,O0107,I0039,2026-03-29,2,558.98,1117.96,UPI,Takeaway
SALE000088,O0018,I0002,2025-12-13,1,385.77,385.77,UPI,Delivery
SALE000089,O0198,I0270,2025-10-25,1,265.7,265.7,UPI,Dine-in
SALE000090,O0150,I0060,2026-01-19,2,487.82,975.64,Card,Online
SALE000091,O0149,I0062,2026-06-25,2,575.96,1151.92,UPI,Takeaway
SALE000092,O0186,I0267,2025-09-13,1,157.35,157.35,Card,Online
SALE000093,O0312,I0105,2025-10-23,2,273.33,546.66,UPI,Takeaway
SALE000094,O0192,I0267,2025-10-16,1,159.88,159.88,UPI,Online
SALE000095,O0245,I0083,2026-08-02,2,240.1,480.2,Card,Takeaway
SALE000096,O0196,I0068,2025-09-10,2,236.35,472.7,Wallet,Online
SALE000097,O0165,I0061,2026-05-05,2,543.66,1087.32,Cash,Online
SALE000098,O0003,I0165,2026-05-24,2,436.43,872.86,Wallet,Dine-in
SALE000099,O0147,I0064,2026-04-01,4,443.29,1773.16,Card,Delivery
SALE000100,O0061,I0031,2026-02-10,2,299.83,599.66,UPI,Delivery
SALE000101,O0260,I0088,2026-02-15,1,217.53,217.53,Card,Takeaway
SALE000102,O0176,I0058,2025-10-26,1,243.82,243.82,UPI,Delivery
SALE000103,O0258,I0091,2025-09-30,2,103.67,207.34,Card,Online
SALE000104,O0010,I0193,2026-02-22,1,320.89,320.89,Card,Takeaway
SALE000105,O0437,I0057,2026-05-29,1,630.98,630.98,UPI,Dine-in
SALE000106,O0077,I0017,2025-10-27,2,397.79,795.58,UPI,Online
SALE000107,O0457,I0050,2026-07-04,2,435.86,871.72,Cash,Takeaway
SALE000108,O0483,I0023,2025-09-23,1,244.2,244.2,Cash,Dine-in
SALE000109,O0003,I0200,2026-02-10,4,160.59,642.36,Card,Dine-in
SALE000110,O0344,I0116,2026-03-31,1,301.6,301.6,UPI,Delivery
SALE000111,O0461,I0020,2025-12-07,2,483.65,967.3,UPI,Dine-in
SALE000112,O0276,I0091,2025-10-07,4,108.7,434.8,UPI,Dine-in
SALE000113,O0326,I0110,2026-07-03,2,227.98,455.96,Card,Dine-in
SALE000114,O0191,I0068,2025-12-03,1,242.48,242.48,UPI,Delivery
SALE000115,O0195,I0273,2025-09-09,4,358.63,1434.52,Cash,Delivery
SALE000116,O0014,I0169,2026-07-26,3,332.02,996.06,Card,Online
SALE000117,O0182,I0272,2026-02-16,1,486.87,486.87,Card,Takeaway
SALE000118,O0058,I0018,2026-04-23,1,402.48,402.48,UPI,Online
SALE000119,O0208,I0075,2026-04-22,3,220.04,660.12,Cash,Dine-in
SALE000120,O0012,I0003,2026-05-13,2,452.44,904.88,UPI,Online
SALE000121,O0272,I0090,2025-12-21,1,108.53,108.53,Cash,Online
SALE000122,O0487,I0021,2025-10-01,1,299.75,299.75,UPI,Online
SALE000123,O0277,I0087,2025-12-12,3,195.32,585.96,UPI,Delivery
SALE000124,O0187,I0070,2026-01-28,1,212.87,212.87,UPI,Delivery
SALE000125,O0328,I0111,2026-02-23,2,152.48,304.96,UPI,Delivery
SALE000126,O0005,I0163,2026-04-15,1,123.09,123.09,Cash,Online
SALE000127,O0161,I0060,2026-02-18,1,445.61,445.61,Wallet,Dine-in
SALE000128,O0398,I0134,2026-05-19,1,435.33,435.33,UPI,Online
SALE000129,O0195,I0067,2025-09-19,1,174.36,174.36,UPI,Takeaway
SALE000130,O0080,I0015,2026-06-11,2,242.75,485.5,Card,Dine-in
SALE000131,O0499,I0142,2026-04-20,1,199.17,199.17,Cash,Dine-in
SALE000132,O0188,I0273,2025-12-26,2,315.46,630.92,Cash,Takeaway
SALE000133,O0168,I0058,2025-10-13,3,244.96,734.88,Card,Delivery
SALE000134,O0461,I0023,2026-04-29,4,259.46,1037.84,UPI,Delivery
SALE000135,O0011,I0188,2026-03-15,1,296.66,296.66,Wallet,Online
SALE000136,O0471,I0100,2026-08-26,1,258.58,258.58,Card,Delivery
SALE000137,O0076,I0011,2026-02-22,3,437.89,1313.67,Cash,Dine-in
SALE000138,O0091,I0023,2026-03-26,2,252.56,505.12,Wallet,Delivery
SALE000139,O0317,I0106,2026-04-08,2,302.35,604.7,Cash,Online
SALE000140,O0033,I0001,2026-02-09,1,340.08,340.08,UPI,Online
SALE000141,O0280,I0090,2026-02-01,2,108.4,216.8,Card,Delivery
SALE000142,O0289,I0098,2026-08-14,1,290.23,290.23,UPI,Dine-in
SALE000143,O0016,I0196,2026-08-25,1,383.76,383.76,UPI,Takeaway
SALE000144,O0143,I0065,2025-10-19,2,545.33,1090.66,UPI,Dine-in
SALE000145,O0056,I0019,2026-01-24,3,344.13,1032.39,Card,Online
SALE000146,O0480,I0102,2026-01-29,1,272.11,272.11,UPI,Online
SALE000147,O0416,I0025,2026-04-10,2,88.1,176.2,Card,Delivery
SALE000148,O0075,I0014,2025-10-21,2,355.73,711.46,UPI,Dine-in
SALE000149,O0189,I0272,2026-08-17,1,489.93,489.93,Wallet,Dine-in
SALE000150,O0413,I0021,2026-06-13,1,306.05,306.05,UPI,Online
SALE000151,O0123,I0052,2025-10-24,1,310.81,310.81,Cash,Online
SALE000152,O0187,I0273,2026-05-22,1,323.69,323.69,Card,Delivery
SALE000153,O0032,I0001,2026-06-26,1,333.4,333.4,Cash,Online
SALE000154,O0297,I0097,2025-12-01,3,322.69,968.07,UPI,Delivery
SALE000155,O0263,I0087,2026-06-10,4,178.05,712.2,UPI,Dine-in
SALE000156,O0051,I0025,2026-06-17,4,87.36,349.44,Card,Delivery
SALE000157,O0115,I0048,2026-04-19,1,315.8,315.8,Wallet,Delivery
SALE000158,O0015,I0202,2025-11-10,2,332.18,664.36,UPI,Takeaway
SALE000159,O0497,I0141,2026-02-04,1,111.49,111.49,UPI,Delivery
SALE000160,O0099,I0019,2026-06-28,3,378.16,1134.48,UPI,Delivery
SALE000161,O0018,I0198,2026-08-31,1,248.48,248.48,Card,Online
SALE000162,O0031,I0197,2026-01-07,3,524.82,1574.46,UPI,Takeaway
SALE000163,O0201,I0072,2026-02-05,2,128.67,257.34,UPI,Takeaway
SALE000164,O0170,I0060,2026-04-27,1,451.61,451.61,UPI,Takeaway
SALE000165,O0233,I0078,2026-05-25,3,259.71,779.13,Card,Takeaway
SALE000166,O0181,I0271,2026-03-26,1,230.88,230.88,Cash,Takeaway
SALE000167,O0429,I0035,2026-07-23,1,457.05,457.05,Card,Dine-in
SALE000168,O0031,I0200,2026-01-09,1,143.82,143.82,Card,Dine-in
SALE000169,O0127,I0049,2026-02-05,4,464.25,1857.0,UPI,Dine-in
SALE000170,O0139,I0053,2026-08-07,3,261.9,785.7,Card,Dine-in
SALE000171,O0034,I0201,2025-11-08,1,128.27,128.27,Wallet,Takeaway
SALE000172,O0040,I0171,2026-08-20,1,479.37,479.37,UPI,Online
SALE000173,O0462,I0021,2025-12-06,2,310.08,620.16,UPI,Online
SALE000174,O0149,I0062,2026-01-31,1,575.96,575.96,Cash,Dine-in
SALE000175,O0395,I0137,2026-05-27,1,323.62,323.62,UPI,Dine-in
SALE000176,O0265,I0088,2026-03-06,3,214.56,643.68,Card,Takeaway
SALE000177,O0334,I0113,2025-09-14,2,146.65,293.3,UPI,Takeaway
SALE000178,O0383,I0130,2026-01-03,2,85.92,171.84,UPI,Delivery
SALE000179,O0024,I0012,2026-04-29,1,525.78,525.78,UPI,Delivery
SALE000180,O0466,I0020,2026-05-02,3,441.79,1325.37,Cash,Delivery
SALE000181,O0036,I0164,2026-03-05,1,302.91,302.91,UPI,Dine-in
SALE000182,O0050,I0025,2026-08-11,1,87.2,87.2,Cash,Delivery
SALE000183,O0310,I0098,2026-05-31,1,285.22,285.22,Card,Delivery
SALE000184,O0051,I0025,2026-04-23,1,87.36,87.36,UPI,Online
SALE000185,O0382,I0131,2025-09-25,2,369.38,738.76,Cash,Delivery
SALE000186,O0096,I0023,2025-12-21,1,256.33,256.33,UPI,Delivery
SALE000187,O0295,I0098,2026-07-04,1,284.29,284.29,UPI,Online
SALE000188,O0016,I0159,2026-01-11,1,500.7,500.7,Card,Delivery
SALE000189,O0106,I0042,2026-02-14,2,462.6,925.2,Card,Online
SALE000190,O0424,I0036,2026-03-17,1,300.77,300.77,UPI,Dine-in
SALE000191,O0218,I0075,2026-02-10,1,219.14,219.14,UPI,Online
SALE000192,O0117,I0047,2026-05-26,1,486.0,486.0,UPI,Delivery
SALE000193,O0140,I0056,2026-07-23,2,317.1,634.2,Cash,Dine-in
SALE000194,O0005,I0189,2025-11-24,1,434.04,434.04,UPI,Takeaway
SALE000195,O0152,I0062,2026-05-24,1,529.98,529.98,UPI,Delivery
SALE000196,O0043,I0019,2025-11-25,2,367.66,735.32,UPI,Delivery
SALE000197,O0190,I0266,2026-02-25,1,362.52,362.52,UPI,Delivery
SALE000198,O0391,I0136,2026-03-20,1,415.83,415.83,UPI,Dine-in
SALE000199,O0149,I0061,2026-06-04,1,481.89,481.89,UPI,Delivery
SALE000200,O0485,I0019,2026-04-15,3,362.21,1086.63,Card,Online
SALE000201,O0303,I0097,2026-06-29,1,298.55,298.55,Card,Dine-in
SALE000202,O0158,I0062,2026-06-29,1,559.94,559.94,UPI,Takeaway
SALE000203,O0039,I0197,2026-04-21,1,507.61,507.61,Card,Delivery
SALE000204,O0428,I0034,2025-11-18,3,404.73,1214.19,UPI,Dine-in
SALE000205,O0432,I0054,2026-07-24,2,228.22,456.44,Card,Takeaway
SALE000206,O0307,I0094,2026-01-08,1,259.69,259.69,Cash,Dine-in
SALE000207,O0057,I0019,2025-09-24,1,372.34,372.34,UPI,Online
SALE000208,O0076,I0010,2026-07-12,2,431.87,863.74,Cash,Delivery
SALE000209,O0470,I0022,2026-08-05,1,307.93,307.93,Cash,Delivery
SALE000210,O0447,I0072,2025-11-04,1,140.36,140.36,UPI,Delivery
SALE000211,O0063,I0029,2026-04-22,1,392.34,392.34,Card,Dine-in
SALE000212,O0020,I0197,2025-12-30,1,515.56,515.56,UPI,Dine-in
SALE000213,O0002,I0197,2026-04-16,1,486.61,486.61,Card,Online
SALE000214,O0189,I0263,2026-07-25,3,344.98,1034.94,UPI,Delivery
SALE000215,O0250,I0084,2026-01-05,2,193.26,386.52,UPI,Takeaway
SALE000216,O0156,I0063,2026-05-18,2,380.77,761.54,UPI,Delivery
SALE000217,O0237,I0079,2025-09-08,1,186.27,186.27,UPI,Delivery
SALE000218,O0500,I0139,2026-04-26,1,75.62,75.62,Card,Takeaway
SALE000219,O0297,I0097,2026-04-16,1,322.69,322.69,UPI,Dine-in
SALE000220,O0253,I0089,2026-03-23,1,127.01,127.01,UPI,Dine-in
SALE000221,O0071,I0013,2026-05-22,2,433.72,867.44,UPI,Dine-in
SALE000222,O0206,I0074,2026-02-09,1,175.87,175.87,UPI,Online
SALE000223,O0161,I0062,2026-04-07,4,588.21,2352.84,Card,Dine-in
SALE000224,O0405,I0142,2025-11-16,1,208.77,208.77,Card,Online
SALE000225,O0434,I0057,2025-10-20,2,573.4,1146.8,UPI,Dine-in
SALE000226,O0085,I0035,2026-01-26,1,488.56,488.56,UPI,Takeaway
SALE000227,O0185,I0269,2025-12-24,4,195.72,782.88,Card,Online
SALE000228,O0054,I0019,2025-09-30,2,381.38,762.76,Card,Online
SALE000229,O0257,I0088,2026-03-12,1,200.46,200.46,Cash,Delivery
SALE000230,O0192,I0269,2025-12-12,1,171.16,171.16,UPI,Dine-in
SALE000231,O0072,I0012,2026-05-02,3,544.24,1632.72,Card,Delivery
SALE000232,O0166,I0063,2026-08-09,2,379.79,759.58,UPI,Dine-in
SALE000233,O0178,I0058,2026-01-31,3,263.22,789.66,Card,Delivery
SALE000234,O0149,I0064,2025-09-19,1,438.9,438.9,Wallet,Online
SALE000235,O0303,I0098,2026-02-13,1,325.95,325.95,Cash,Delivery
SALE000236,O0473,I0103,2025-10-16,2,262.0,524.0,Card,Dine-in
SALE000237,O0228,I0079,2026-02-26,1,179.19,179.19,UPI,Delivery
SALE000238,O0419,I0025,2025-10-25,1,96.92,96.92,UPI,Online
SALE000239,O0040,I0195,2026-05-09,1,354.63,354.63,UPI,Takeaway
SALE000240,O0403,I0140,2026-03-10,2,106.98,213.96,UPI,Online
SALE000241,O0058,I0020,2026-04-05,1,458.73,458.73,UPI,Takeaway
SALE000242,O0155,I0063,2025-11-18,4,347.78,1391.12,UPI,Dine-in
SALE000243,O0198,I0267,2026-06-16,1,148.7,148.7,UPI,Delivery
SALE000244,O0277,I0091,2026-08-16,3,115.11,345.33,UPI,Delivery
SALE000245,O0125,I0051,2025-10-15,1,317.9,317.9,UPI,Dine-in
SALE000246,O0155,I0063,2026-03-05,2,347.78,695.56,UPI,Takeaway
SALE000247,O0278,I0092,2026-01-03,1,163.86,163.86,UPI,Dine-in
SALE000248,O0323,I0109,2026-06-23,1,184.56,184.56,UPI,Delivery
SALE000249,O0216,I0075,2026-04-22,4,241.76,967.04,Card,Delivery
SALE000250,O0128,I0052,2026-08-20,2,309.31,618.62,UPI,Delivery
SALE000251,O0338,I0111,2025-10-18,1,162.85,162.85,UPI,Delivery
SALE000252,O0182,I0069,2025-10-28,1,258.67,258.67,UPI,Online
SALE000253,O0194,I0069,2025-11-26,1,247.06,247.06,UPI,Delivery
SALE000254,O0133,I0055,2025-12-21,2,283.41,566.82,UPI,Online
SALE000255,O0060,I0023,2025-12-18,1,254.53,254.53,Cash,Online
SALE000256,O0181,I0273,2026-02-14,4,314.02,1256.08,Cash,Delivery
SALE000257,O0146,I0063,2026-07-08,2,367.35,734.7,Card,Delivery
SALE000258,O0016,I0191,2025-11-29,2,506.77,1013.54,Card,Takeaway
SALE000259,O0010,I0001,2025-11-26,1,368.1,368.1,UPI,Takeaway
SALE000260,O0400,I0134,2026-08-01,2,384.8,769.6,UPI,Dine-in
SALE000261,O0143,I0060,2025-11-09,1,493.55,493.55,UPI,Delivery
SALE000262,O0488,I0024,2025-11-06,1,237.66,237.66,Cash,Dine-in
SALE000263,O0007,I0191,2026-08-14,1,523.79,523.79,UPI,Online
SALE000264,O0094,I0023,2025-09-15,1,261.33,261.33,Card,Delivery
SALE000265,O0238,I0080,2025-09-08,2,149.35,298.7,Card,Takeaway
SALE000266,O0188,I0265,2026-07-04,1,188.93,188.93,Cash,Takeaway
SALE000267,O0018,I0164,2026-05-03,1,275.94,275.94,Cash,Online
SALE000268,O0485,I0019,2026-08-15,2,362.21,724.42,Card,Delivery
SALE000269,O0163,I0064,2026-01-04,2,464.65,929.3,UPI,Online
SALE000270,O0417,I0025,2025-11-12,1,97.01,97.01,Wallet,Online
SALE000271,O0311,I0107,2026-08-21,2,314.26,628.52,Wallet,Takeaway
SALE000272,O0334,I0111,2026-06-17,1,173.84,173.84,Card,Online
SALE000273,O0097,I0024,2025-12-18,4,224.46,897.84,Card,Online
SALE000274,O0036,I0189,2025-11-13,1,476.44,476.44,UPI,Dine-in
SALE000275,O0255,I0091,2026-06-14,3,106.13,318.39,Cash,Online
SALE000276,O0350,I0116,2026-04-14,1,323.46,323.46,UPI,Online
SALE000277,O0412,I0024,2026-05-06,2,250.8,501.6,UPI,Delivery
SALE000278,O0437,I0054,2026-03-29,2,251.62,503.24,UPI,Delivery
SALE000279,O0416,I0019,2026-02-27,3,350.43,1051.29,UPI,Takeaway
SALE000280,O0399,I0134,2026-05-31,1,416.08,416.08,UPI,Dine-in
SALE000281,O0052,I0019,2026-08-15,4,352.7,1410.8,UPI,Delivery
SALE000282,O0413,I0024,2026-01-24,1,225.15,225.15,Card,Dine-in
SALE000283,O0008,I0006,2025-11-20,3,293.0,879.0,Cash,Online
SALE000284,O0012,I0006,2026-03-24,2,303.37,606.74,UPI,Delivery
SALE000285,O0429,I0033,2025-09-20,2,373.71,747.42,Cash,Dine-in
SALE000286,O0287,I0097,2025-09-15,1,317.02,317.02,Wallet,Online
SALE000287,O0017,I0194,2025-10-29,1,443.58,443.58,Cash,Online
SALE000288,O0195,I0267,2026-04-30,1,151.61,151.61,UPI,Dine-in
SALE000289,O0422,I0032,2026-05-12,2,450.83,901.66,UPI,Online
SALE000290,O0407,I0139,2025-12-02,1,82.03,82.03,UPI,Dine-in
SALE000291,O0419,I0022,2026-03-23,1,311.77,311.77,Cash,Delivery
SALE000292,O0001,I0005,2025-11-28,1,518.96,518.96,UPI,Dine-in
SALE000293,O0312,I0107,2026-08-26,1,334.93,334.93,Card,Delivery
SALE000294,O0256,I0089,2026-08-09,1,122.84,122.84,Wallet,Online
SALE000295,O0040,I0190,2025-09-25,1,286.39,286.39,UPI,Online
SALE000296,O0079,I0011,2026-04-17,2,453.09,906.18,Cash,Online
SALE000297,O0005,I0171,2026-08-28,1,431.11,431.11,Card,Delivery
SALE000298,O0443,I0075,2026-02-20,2,223.71,447.42,Wallet,Takeaway
SALE000299,O0123,I0050,2025-09-19,1,423.12,423.12,UPI,Online
SALE000300,O0474,I0100,2025-12-28,2,247.92,495.84,Wallet,Online
SALE000301,O0434,I0056,2026-06-14,3,313.27,939.81,Cash,Dine-in
SALE000302,O0274,I0087,2026-07-15,1,172.61,172.61,Card,Dine-in
SALE000303,O0039,I0172,2025-11-01,2,127.4,254.8,UPI,Takeaway
SALE000304,O0040,I0171,2026-02-24,1,479.37,479.37,UPI,Online
SALE000305,O0401,I0138,2026-04-18,1,156.28,156.28,UPI,Delivery
SALE000306,O0390,I0130,2026-01-08,1,85.84,85.84,UPI,Dine-in
SALE000307,O0168,I0061,2026-05-09,1,507.46,507.46,UPI,Takeaway
SALE000308,O0369,I0123,2026-04-15,2,383.0,766.0,Card,Online
SALE000309,O0020,I0197,2025-10-13,2,515.56,1031.12,Card,Online
SALE000310,O0031,I0004,2026-05-03,3,475.43,1426.29,Cash,Delivery
SALE000311,O0442,I0075,2026-03-21,1,236.14,236.14,Card,Delivery
SALE000312,O0095,I0021,2026-06-14,1,313.77,313.77,Card,Dine-in
SALE000313,O0019,I0159,2025-10-24,2,511.44,1022.88,UPI,Takeaway
SALE000314,O0125,I0050,2026-05-26,2,438.66,877.32,UPI,Delivery
SALE000315,O0006,I0165,2026-08-09,2,387.9,775.8,UPI,Delivery
SALE000316,O0482,I0025,2025-09-02,1,96.38,96.38,UPI,Online
SALE000317,O0162,I0065,2026-02-10,1,506.75,506.75,Card,Dine-in
SALE000318,O0064,I0029,2025-12-25,1,371.04,371.04,UPI,Online
SALE000319,O0196,I0264,2025-09-05,2,321.23,642.46,Cash,Delivery
SALE000320,O0177,I0063,2025-12-13,1,358.12,358.12,UPI,Dine-in
SALE000321,O0300,I0099,2026-01-20,1,270.07,270.07,Cash,Online
SALE000322,O0334,I0112,2026-08-05,2,271.38,542.76,Card,Delivery
SALE000323,O0420,I0022,2026-06-19,1,291.84,291.84,Cash,Online
SALE000324,O0031,I0193,2026-08-23,1,305.49,305.49,UPI,Takeaway
SALE000325,O0168,I0059,2026-05-19,1,381.93,381.93,Card,Dine-in
SALE000326,O0279,I0092,2026-03-17,1,157.04,157.04,UPI,Online
SALE000327,O0189,I0271,2026-08-04,2,248.51,497.02,Card,Online
SALE000328,O0247,I0084,2025-11-24,2,212.97,425.94,UPI,Dine-in
SALE000329,O0481,I0020,2026-04-03,1,478.22,478.22,UPI,Online
SALE000330,O0235,I0080,2025-12-15,2,163.88,327.76,UPI,Takeaway
SALE000331,O0350,I0115,2026-01-06,1,288.84,288.84,UPI,Takeaway
SALE000332,O0096,I0025,2026-04-07,1,84.68,84.68,Cash,Dine-in
SALE000333,O0117,I0044,2025-12-17,1,376.39,376.39,UPI,Delivery
SALE000334,O0251,I0089,2025-11-15,2,130.51,261.02,UPI,Dine-in
SALE000335,O0448,I0073,2026-01-31,1,168.04,168.04,Card,Online
SALE000336,O0456,I0052,2026-06-18,1,320.62,320.62,UPI,Takeaway
SALE000337,O0464,I0021,2026-07-12,1,308.18,308.18,Card,Takeaway
SALE000338,O0410,I0142,2026-04-26,1,200.88,200.88,UPI,Takeaway
SALE000339,O0413,I0019,2025-10-27,1,375.86,375.86,Cash,Online
SALE000340,O0048,I0025,2026-08-16,1,86.74,86.74,UPI,Delivery
SALE000341,O0199,I0270,2026-04-25,2,290.46,580.92,UPI,Dine-in
SALE000342,O0498,I0141,2026-03-07,2,114.01,228.02,UPI,Dine-in
SALE000343,O0060,I0022,2025-11-08,1,307.15,307.15,Card,Online
SALE000344,O0412,I0024,2025-09-27,2,250.8,501.6,UPI,Dine-in
SALE000345,O0495,I0140,2026-05-31,3,94.75,284.25,UPI,Online
SALE000346,O0308,I0094,2025-10-13,2,246.85,493.7,UPI,Online
SALE000347,O0488,I0019,2025-10-30,3,377.92,1133.76,UPI,Dine-in
SALE000348,O0461,I0021,2026-08-11,1,313.7,313.7,UPI,Online
SALE000349,O0109,I0043,2025-12-16,1,354.51,354.51,UPI,Delivery
